# r/G(r)/dn[At1,At2]:      G(r)[ C,Si]            dn(r)
          1.741     -1.4496837591      0.0063600000
          1.760     -0.7468173999      0.0188400000
          1.779      0.5861046712      0.0458000000
          1.797      2.2382415870      0.0909600000
          1.816      3.3275795909      0.1486000000
          1.835      5.6015923493      0.2319200000
          1.853      6.6778660631      0.3282000000
          1.872      8.6430081087      0.4476000000
          1.890      9.9229092521      0.5828400000
          1.909     11.3883643794      0.7363200000
          1.928     10.9625105416      0.8866400000
          1.946      8.9168776657      1.0149200000
          1.965      7.2921701537      1.1256400000
          1.984      5.0716559252      1.2114000000
          2.002      2.9825742541      1.2732800000
          2.021      1.2703700171      1.3153600000
          2.039      0.1682314692      1.3446800000
          2.058     -0.6469326911      1.3645200000
          2.077     -1.2539409852      1.3772800000
          2.095     -1.6743590188      1.3851600000
          2.114     -2.0115359403      1.3891200000
          2.133     -2.1512127743      1.3916000000
          2.151     -2.2357895895      1.3932800000
          2.170     -2.2450342541      1.3951200000
          2.188     -2.2759370967      1.3968400000
          2.207     -2.3674801879      1.3976400000
          2.226     -2.4186345744      1.3980400000
          2.244     -2.4214347861      1.3986800000
          2.263     -2.4512176723      1.3992000000
          2.282     -2.4631998256      1.3998400000
          2.300     -2.4461428876      1.4010000000
          2.319     -2.4673144535      1.4021600000
          2.337     -2.4626344476      1.4036800000
          2.356     -2.4583524133      1.4055600000
          2.375     -2.3725004738      1.4089600000
          2.393     -2.2686745386      1.4141600000
          2.412     -2.3031114859      1.4192000000
          2.431     -2.3870360879      1.4233600000
          2.449     -2.3850500623      1.4278800000
          2.468     -2.2882204995      1.4341600000
          2.486     -2.0608907547      1.4441600000
          2.505     -2.0810415035      1.4542400000
          2.524     -1.7900592730      1.4690800000
          2.542     -1.7359446581      1.4851600000
          2.561     -1.6357440802      1.5032000000
          2.580     -1.6491593383      1.5214800000
          2.598     -1.5490219581      1.5417600000
          2.617     -1.4403430550      1.5642000000
          2.635     -1.2927452587      1.5894400000
          2.654     -1.2511819914      1.6158400000
          2.673     -0.8162492361      1.6496800000
          2.691     -0.5247717122      1.6887600000
          2.710     -0.4059865077      1.7303600000
          2.729     -0.2448294060      1.7752000000
          2.747      0.2509919466      1.8288000000
          2.766      0.6209611112      1.8892000000
          2.784      0.8676035306      1.9544400000
          2.803      1.1897064281      2.0258400000
          2.822      1.3360381559      2.1005200000
          2.840      0.9414510928      2.1693600000
          2.859      1.4320364385      2.2473600000
          2.878      0.9504469259      2.3179600000
          2.896      0.9034827900      2.3885600000
          2.915      0.5713515393      2.4542000000
          2.933      0.5428851887      2.5201200000
          2.952      0.1212195215      2.5794000000
          2.971      0.1270465309      2.6395200000
          2.989      0.1325455793      2.7004800000
          3.008      0.1087174218      2.7617600000
          3.027     -0.4472575662      2.8137600000
          3.045     -0.2385451323      2.8702400000
          3.064     -0.2801447130      2.9266800000
          3.082     -0.3367299991      2.9828000000
          3.101     -0.2803444890      3.0406800000
          3.120     -0.2808096068      3.0992800000
          3.138     -0.1040177290      3.1619200000
          3.157     -0.2144207868      3.2232400000
          3.176     -0.1124286155      3.2872400000
          3.194     -0.1862546793      3.3506000000
          3.213     -0.3430184801      3.4117200000
          3.231     -0.3756765298      3.4729600000
          3.250     -0.3359215050      3.5357200000
          3.269     -0.4138851640      3.5977200000
          3.287     -0.7933487916      3.6530400000
          3.306     -0.9779420050      3.7054400000
          3.325     -0.8841363510      3.7604000000
          3.343     -1.1087799645      3.8116000000
          3.362     -1.1155589581      3.8633600000
          3.380     -1.0212376831      3.9177200000
          3.399     -1.0703345012      3.9718000000
          3.418     -0.7008551125      4.0341200000
          3.436     -0.6187937766      4.0988800000
          3.455     -0.5358956206      4.1661200000
          3.474     -0.4096680025      4.2367600000
          3.492     -0.5040895730      4.3062400000
          3.511     -0.2134959560      4.3826000000
          3.529     -0.0060489041      4.4641600000
          3.548      0.0855134883      4.5485200000
          3.567      0.0742965351      4.6335200000
          3.585      0.2351956896      4.7228400000
          3.604      0.2452439317      4.8132800000
          3.623      0.4068935265      4.9081200000
          3.641      0.3971099520      5.0036800000
          3.660      0.6274413264      5.1052000000
          3.678      0.5450701659      5.2058800000
          3.697      0.5813166022      5.3083200000
          3.716      0.5176535010      5.4103200000
          3.734      0.5478747428      5.5139600000
          3.753      0.5150032588      5.6178400000
          3.772      0.4003999472      5.7201200000
          3.790      0.3185940272      5.8215200000
          3.809      0.3994948876      5.9257200000
          3.827      0.3566667783      6.0299200000
          3.846      0.4920417798      6.1382000000
          3.865      0.6137585417      6.2502800000
          3.883      0.2208268260      6.3542800000
          3.902      0.0378483183      6.4550000000
          3.921     -0.0734021694      6.5540800000
          3.939     -0.2826099745      6.6492000000
          3.958     -0.1983814212      6.7472400000
          3.976     -0.2839095106      6.8442000000
          3.995     -0.3049954505      6.9416000000
          4.014     -0.3060107620      7.0399200000
          4.032     -0.1590770898      7.1427200000
          4.051      0.0310484137      7.2510800000
          4.070      0.4864059907      7.3714800000
          4.088      0.3924092656      7.4906400000
          4.107      0.1421982377      7.6047200000
          4.125      0.2519572920      7.7225200000
          4.144      0.2147916338      7.8404400000
          4.163      0.3228769601      7.9620800000
          4.181      0.6529202509      8.0930000000
          4.200      0.8328438556      8.2295200000
          4.219      0.8296365748      8.3670800000
          4.237      0.8167739712      8.5054400000
          4.256      0.9347325432      8.6479200000
          4.274      0.7578773711      8.7870400000
          4.293      0.9388068469      8.9319200000
          4.312      0.5996725122      9.0692400000
          4.330      0.9111093003      9.2157200000
          4.349      0.7227940899      9.3584800000
          4.368      0.3899318089      9.4937200000
          4.386      0.7314317656      9.6390000000
          4.405      0.7986661130      9.7872000000
          4.423      0.5859960194      9.9309600000
          4.442      0.9082652111     10.0844000000
          4.461      0.7507344677     10.2348400000
          4.479      0.4205429390     10.3776400000
          4.498      0.6718413998     10.5283200000
          4.517      0.7663623687     10.6827200000
          4.535      0.6231674678     10.8344400000
          4.554      0.6902512725     10.9891600000
          4.572      0.6670879950     11.1444400000
          4.591      0.6819534543     11.3013200000
          4.610      0.4169996626     11.4521200000
          4.628      0.5919269782     11.6089200000
          4.647      0.5876471161     11.7668000000
          4.666      0.5328914398     11.9243600000
          4.684      0.2964491955     12.0765200000
          4.703      0.1116650382     12.2246800000
          4.721      0.3020170132     12.3793600000
          4.740      0.2995710428     12.5351600000
          4.759      0.1094115294     12.6867600000
          4.777      0.0006496745     12.8364400000
          4.796      0.0912831000     12.9898800000
          4.815     -0.1116728763     13.1386800000
          4.833     -0.3451598986     13.2819200000
          4.852     -0.3999558329     13.4247200000
          4.870     -0.7535064831     13.5584000000
          4.889     -0.7613421666     13.6929600000
          4.908     -0.6188489106     13.8328000000
          4.926     -0.4026599095     13.9801200000
          4.945     -0.3660468450     14.1296800000
          4.964     -0.5151008653     14.2760000000
          4.982     -0.9029688379     14.4119600000
          5.001     -0.4359083837     14.5629600000
          5.019     -0.3655602386     14.7172400000
          5.038     -0.1373624181     14.8795600000
          5.057     -0.0795516549     15.0448400000
          5.075     -0.1545490880     15.2090800000
          5.094     -0.1013504316     15.3761600000
          5.113     -0.4280591288     15.5345200000
          5.131     -0.4059418748     15.6947600000
          5.150     -0.6069809490     15.8500400000
          5.168     -0.2834195853     16.0164800000
          5.187     -0.1796952188     16.1873600000
          5.206     -0.1877324060     16.3592400000
          5.224     -0.1457581621     16.5336800000
          5.243     -0.1976719562     16.7077600000
          5.262     -0.6728381820     16.8682000000
          5.280     -0.4482737311     17.0369200000
          5.299     -0.8181820680     17.1952000000
          5.317     -0.8461313813     17.3538000000
          5.336     -0.6501547610     17.5198400000
          5.355     -0.6512056292     17.6870800000
          5.373     -0.4125833858     17.8632000000
          5.392     -0.4346457157     18.0398800000
          5.411     -0.2768391682     18.2229200000
          5.429     -0.5615597828     18.3980400000
          5.448     -0.7101945274     18.5696000000
          5.466     -0.5669860097     18.7470800000
          5.485     -0.6365638671     18.9235600000
          5.504     -0.3692516990     19.1100800000
          5.522     -0.4854849606     19.2940800000
          5.541     -0.3927456703     19.4824400000
          5.560     -0.2283356298     19.6775600000
          5.578     -0.4333169996     19.8672000000
          5.597     -0.4679941956     20.0570000000
          5.615     -0.4762840938     20.2478400000
          5.634     -0.6442747401     20.4343600000
          5.653     -0.6996900492     20.6203200000
          5.671     -0.4412827540     20.8163200000
          5.690     -0.7355264588     21.0036800000
          5.709     -0.6317902009     21.1958800000
          5.727     -0.5757349537     21.3913200000
          5.746     -0.4500943316     21.5924000000
          5.764     -0.1950016601     21.8036000000
          5.783     -0.0310428673     22.0218400000
          5.802      0.1190070940     22.2466800000
          5.820      0.0823202856     22.4716800000
          5.839      0.0020596561     22.6953200000
          5.858      0.2647564702     22.9295600000
          5.876      0.6238797585     23.1778400000
          5.895      0.3999673843     23.4197600000
          5.913      0.3112566925     23.6600400000
          5.932      0.2546522996     23.8998000000
          5.951      0.1926348950     24.1388400000
          5.969      0.1376223862     24.3774000000
          5.988      0.3159505045     24.6238000000
          6.007      0.2885756753     24.8707200000
          6.025      0.2512185836     25.1178000000
          6.044      0.0129765653     25.3578000000
          6.063      0.0705409464     25.6013600000
          6.081      0.1199017523     25.8482000000
          6.100     -0.1293355238     26.0874800000
          6.118     -0.3157529252     26.3214400000
          6.137     -0.2911947839     26.5577600000
          6.156     -0.5732769818     26.7852000000
          6.174     -0.3168090486     27.0235200000
          6.193     -0.4759875212     27.2574400000
          6.212     -0.5565405226     27.4898400000
          6.230     -0.5376284342     27.7244000000
          6.249     -0.3363664693     27.9679200000
          6.267     -0.4769484557     28.2076800000
          6.286      0.0131026541     28.4672800000
          6.305     -0.0832138756     28.7248000000
          6.323      0.1679855318     28.9933200000
          6.342      0.6588716465     29.2819600000
          6.361      0.6983207550     29.5737200000
          6.379      0.6069622736     29.8636400000
          6.398      0.7992502837     30.1625200000
          6.416      1.1147733487     30.4751200000
          6.435      0.8682915065     30.7799600000
          6.454      0.6553519693     31.0782800000
          6.472      0.7400847091     31.3815200000
          6.491      0.3620316867     31.6718000000
          6.510      0.3345046688     31.9626400000
          6.528      0.4900131916     32.2611600000
          6.547      0.6168415309     32.5662800000
          6.565      0.5281654902     32.8696000000
          6.584      0.4871984381     33.1727200000
          6.603      0.5712881175     33.4786000000
          6.621      0.9171420676     33.7969600000
          6.640      1.1210696250     34.1221600000
          6.659      1.2400274787     34.4508400000
          6.677      0.8216652883     34.7624400000
          6.696      0.9787109768     35.0789600000
          6.714      0.7729062582     35.3866400000
          6.733      0.7025698180     35.6906400000
          6.752      0.1603650854     35.9734000000
          6.770      0.1410826920     36.2545200000
          6.789      0.0533675925     36.5314800000
          6.808      0.0151174217     36.8061200000
          6.826      0.2097928651     37.0869200000
          6.845      0.2411388325     37.3678800000
          6.863      0.2007596811     37.6464000000
          6.882     -0.1445725493     37.9116000000
          6.901     -0.0859048244     38.1779600000
          6.919      0.1518523196     38.4517600000
          6.938      0.2421993232     38.7277200000
          6.957      0.0352681930     38.9954400000
          6.975     -0.1439949506     39.2559600000
          6.994     -0.3148361217     39.5096400000
          7.012     -0.7839502367     39.7463600000
          7.031     -0.7154707483     39.9845600000
          7.050     -0.8380559563     40.2177600000
          7.068     -0.6550049108     40.4562400000
          7.087     -0.6772669748     40.6930800000
          7.106     -1.0155104739     40.9178400000
          7.124     -0.6231438230     41.1546400000
          7.143     -0.5822265648     41.3918400000
          7.161     -0.1908292792     41.6407600000
          7.180     -0.1495280426     41.8899600000
          7.199     -0.1061149036     42.1394800000
          7.217     -0.4023900901     42.3785200000
          7.236     -0.3125681067     42.6193600000
          7.255     -0.1367435052     42.8646400000
          7.273     -0.3330593547     43.1027200000
          7.292     -0.0932641037     43.3471200000
          7.310     -0.2889041027     43.5844000000
          7.329     -0.6727634569     43.8089200000
          7.348     -0.5459932686     44.0362400000
          7.366     -0.3114737976     44.2695200000
          7.385      0.1126390075     44.5142800000
          7.404      0.2626746495     44.7622400000
          7.422     -0.0616714967     44.9994400000
          7.441     -0.1400269796     45.2331600000
          7.459     -0.1484997969     45.4654400000
          7.478      0.1257105774     45.7043600000
          7.497      0.1311007648     45.9421600000
          7.515      0.2235527118     46.1812800000
          7.534      0.7731251534     46.4344400000
          7.553      0.7068774174     46.6843200000
          7.571      0.3037934057     46.9216800000
          7.590      0.3506582708     47.1589600000
          7.608      0.3335594116     47.3944000000
          7.627      0.5908774296     47.6353600000
          7.646      0.6453444613     47.8763200000
          7.664      0.7253321036     48.1179200000
          7.683      0.6449454565     48.3559200000
          7.702      0.5897499009     48.5910000000
          7.720      0.2104202084     48.8148400000
          7.739      0.0994159832     49.0344400000
          7.757      0.6025251367     49.2653600000
          7.776      0.5368689060     49.4931200000
          7.795      0.6057367424     49.7210800000
          7.813      0.0909905318     49.9348400000
          7.832      0.4662000373     50.1563200000
          7.851     -0.0668123165     50.3634000000
          7.869      0.0339492045     50.5714800000
          7.888     -0.3015085666     50.7701600000
          7.906     -0.5186410068     50.9623600000
          7.925     -0.8890496291     51.1446000000
          7.944     -1.0475599598     51.3219200000
          7.962     -1.3559311530     51.4909600000
          7.981     -1.3337881556     51.6593200000
          8.000     -1.3590445444     51.8259200000
          8.018     -1.4475627496     51.9893600000
          8.037     -1.3952624562     52.1527600000
          8.055     -1.1057429494     52.3212400000
          8.074     -1.2414953058     52.4855200000
          8.093     -0.8099874885     52.6577200000
          8.111     -0.6577332411     52.8317600000
          8.130     -0.4077090855     53.0096000000
          8.149     -0.6351268263     53.1812800000
          8.167     -1.0848309516     53.3423600000
          8.186     -1.1730565945     53.5003200000
          8.204     -1.3791186212     53.6528400000
          8.223     -1.5041726769     53.8016000000
          8.242     -1.3731398473     53.9516400000
          8.260     -1.2323919954     54.1030800000
          8.279     -0.5966899580     54.2652800000
          8.298     -0.3448061047     54.4307200000
          8.316     -0.6559654503     54.5888000000
          8.335     -0.3433466705     54.7511200000
          8.353     -0.5554079064     54.9080000000
          8.372     -0.3308709340     55.0673600000
          8.391      0.0984122536     55.2327200000
          8.409      0.2762704487     55.3994800000
          8.428      0.6397877410     55.5707600000
          8.447      1.4518217367     55.7540400000
          8.465      1.4185904152     55.9347200000
          8.484      1.2670410666     56.1108400000
          8.502      1.5023920869     56.2888000000
          8.521      1.9006197463     56.4711200000
          8.540      1.6458162361     56.6472000000
          8.558      1.8753260015     56.8247600000
          8.577      1.7869031387     56.9987600000
          8.596      1.7043591628     57.1693200000
          8.614      2.0476302491     57.3428800000
          8.633      1.5579634858     57.5069200000
          8.651      1.8778423801     57.6734800000
          8.670      1.7691250547     57.8362400000
          8.689      1.7338543965     57.9962800000
          8.707      1.7296564262     58.1540400000
          8.726      1.1024034780     58.3009600000
          8.745      0.6032929966     58.4390400000
          8.763      0.7085196673     58.5765200000
          8.782      0.6679563735     58.7114400000
          8.800      1.3214524700     58.8527200000
          8.819      1.3233924440     58.9918400000
          8.838      1.1099207653     59.1261200000
          8.856      0.9189834220     59.2559200000
          8.875      0.3836670911     59.3772000000
          8.894      0.2074093703     59.4944000000
          8.912      0.7586076936     59.6159600000
          8.931      1.0203813280     59.7383600000
          8.949      1.2754057900     59.8614000000
          8.968      1.4753001710     59.9843600000
          8.987      0.9950756455     60.0999200000
          9.005      0.3605618017     60.2066800000
          9.024      0.6859930797     60.3146800000
          9.043      0.5727179051     60.4194000000
          9.061      0.1756865039     60.5181200000
          9.080      1.2544149811     60.6250400000
          9.098      1.3649022287     60.7306800000
          9.117      0.7493046997     60.8284000000
          9.136      0.3209500483     60.9201200000
          9.154      0.6928563151     61.0129200000
          9.173      0.4092204903     61.1011200000
          9.192      0.3265386278     61.1864800000
          9.210      0.4716932378     61.2708400000
          9.229      0.7970620760     61.3555200000
          9.247      0.2375074262     61.4337200000
          9.266      0.7207473555     61.5132800000
          9.285      1.4620525009     61.5958000000
          9.303      1.3761854976     61.6752800000
