# r/G(r)/dn[At1,At2]:      G(r)[ H, H]            dn(r)
          1.741      3.2063642577      0.1690810811
          1.760      3.8780067409      0.2052972973
          1.779      3.6764063961      0.2407567568
          1.797      2.8496710044      0.2714594595
          1.816      3.0151880192      0.3036756757
          1.835      1.8281262818      0.3286486486
          1.853      1.4722544316      0.3516756757
          1.872      0.6824031598      0.3698378378
          1.890      0.1177876641      0.3845405405
          1.909      0.0918569357      0.3993513514
          1.928     -0.2826126143      0.4118918919
          1.946      0.1815699630      0.4278918919
          1.965      0.0146833508      0.4430270270
          1.984      0.6976036525      0.4632432432
          2.002      0.2993923316      0.4809729730
          2.021      0.6186501828      0.5012972973
          2.039      0.3924546968      0.5203243243
          2.058      0.1106080818      0.5376216216
          2.077      0.3924457031      0.5572972973
          2.095     -0.1621326587      0.5731891892
          2.114      0.4198951043      0.5937297297
          2.133      0.4900233401      0.6151351351
          2.151      0.9136070126      0.6401081081
          2.170      0.6960081711      0.6637837838
          2.188      1.6403835473      0.6951351351
          2.207      1.0597542315      0.7223783784
          2.226      1.2296842035      0.7513513514
          2.244      1.5870180178      0.7835675676
          2.263      1.0471517534      0.8118918919
          2.282      1.6003151602      0.8450810811
          2.300      1.3738853295      0.8768648649
          2.319      1.3615543923      0.9089729730
          2.337      1.4275100617      0.9420540541
          2.356      1.3624376890      0.9750270270
          2.375      1.2852001720      1.0077837838
          2.393      1.1705528714      1.0400000000
          2.412      1.2093487946      1.0729729730
          2.431      1.2472360982      1.1067027027
          2.449      0.9848805003      1.1385945946
          2.468      1.2460931980      1.1731891892
          2.486      1.4293680557      1.2098378378
          2.505      1.2071806868      1.2449729730
          2.524      1.5205867562      1.2833513514
          2.542      1.5887758177      1.3228108108
          2.561      1.6556749830      1.3633513514
          2.580      2.0173802013      1.4076756757
          2.598      1.5858315221      1.4485405405
          2.617      1.7788636676      1.4916756757
          2.635      1.8413697871      1.5358918919
          2.654      1.7300565903      1.5795675676
          2.673      1.8714710624      1.6250810811
          2.691      1.7836249285      1.6702702703
          2.710      1.7981613652      1.7161081081
          2.729      1.2972024920      1.7576216216
          2.747      1.8480495997      1.8049729730
          2.766      1.6290806060      1.8507027027
          2.784      1.6760793561      1.8974054054
          2.803      1.8311658005      1.9461621622
          2.822      2.1679852521      1.9988108108
          2.840      2.3495412925      2.0538378378
          2.859      2.3147556043      2.1090810811
          2.878      2.3438527386      2.1651891892
          2.896      2.6360127567      2.2248648649
          2.915      2.5468746318      2.2842162162
          2.933      2.8959997672      2.3477837838
          2.952      3.0438417468      2.4135135135
          2.971      3.0456039442      2.4798918919
          2.989      3.2105997192      2.5486486486
          3.008      3.3529861404      2.6195675676
          3.027      3.1501836907      2.6889729730
          3.045      2.9496113234      2.7568648649
          3.064      2.9107633325      2.8249729730
          3.082      3.0901723060      2.8956756757
          3.101      2.8041753265      2.9638918919
          3.120      2.9522120416      3.0343783784
          3.138      2.5044599155      3.1005405405
          3.157      1.5488782946      3.1566486486
          3.176      1.7394317686      3.2154594595
          3.194      1.7649367534      3.2751351351
          3.213      1.4190762515      3.3314594595
          3.231      1.4834760708      3.3890810811
          3.250      1.1709213962      3.4436756757
          3.269      1.1233824883      3.4982702703
          3.287      1.0668570305      3.5527567568
          3.306      0.5671852493      3.6019459459
          3.325      0.3853051835      3.6495135135
          3.343      0.6712467162      3.7009729730
          3.362      0.6448318286      3.7526486486
          3.380      0.3473715040      3.8012972973
          3.399      0.5113092256      3.8524324324
          3.418      0.5927900742      3.9050810811
          3.436      0.4420234339      3.9564324324
          3.455     -0.0168140929      4.0027027027
          3.474      0.0391443324      4.0501621622
          3.492      0.0942872904      4.0988108108
          3.511     -0.2342352769      4.1438918919
          3.529     -0.4816072420      4.1863783784
          3.548     -0.0033506034      4.2353513514
          3.567     -0.5495518927      4.2779459459
          3.585     -0.1530226001      4.3260540541
          3.604     -0.3541649161      4.3721081081
          3.623     -0.1149331758      4.4217297297
          3.641     -0.1300546575      4.4716756757
          3.660     -0.2287025746      4.5208648649
          3.678     -0.0940214678      4.5723243243
          3.697     -0.3988467976      4.6203243243
          3.716     -0.4623936424      4.6680000000
          3.734     -0.3128140915      4.7181621622
          3.753     -0.6044854113      4.7649729730
          3.772     -0.8205797359      4.8094054054
          3.790     -0.9863913740      4.8521081081
          3.809     -0.9743277454      4.8954594595
          3.827     -1.0663418764      4.9380540541
          3.846     -1.2688647046      4.9783783784
          3.865     -1.1929692887      5.0202162162
          3.883     -1.1809325782      5.0627027027
          3.902     -1.4040828877      5.1025945946
          3.921     -1.4305071379      5.1425945946
          3.939     -1.2474853962      5.1856216216
          3.958     -1.3674078424      5.2274594595
          3.976     -1.3865259237      5.2695135135
          3.995     -1.1686085692      5.3151351351
          4.014     -1.1736296121      5.3611891892
          4.032     -1.3681955342      5.4049729730
          4.051     -1.2142634650      5.4514594595
          4.070     -1.4222511056      5.4954594595
          4.088     -1.3445740976      5.5410810811
          4.107     -1.2454715749      5.5886486486
          4.125     -1.5028918586      5.6329729730
          4.144     -1.3085038526      5.6806486486
          4.163     -1.3728966038      5.7278918919
          4.181     -1.1957967027      5.7782702703
          4.200     -0.9986281490      5.8321081081
          4.219     -0.7961399413      5.8895135135
          4.237     -0.6821291580      5.9491891892
          4.256     -0.3611275104      6.0142702703
          4.274     -0.4576239923      6.0784864865
          4.293     -0.4680698692      6.1431351351
          4.312      0.0173607216      6.2157837838
          4.330     -0.0447737954      6.2881081081
          4.349      0.2025264888      6.3648648649
          4.368      0.1817500284      6.4419459459
          4.386     -0.1594069716      6.5143783784
          4.405     -0.0747929909      6.5887567568
          4.423     -0.1637190027      6.6623783784
          4.442     -0.2176849510      6.7357837838
          4.461      0.1874797452      6.8162162162
          4.479      0.0776010895      6.8955675676
          4.498     -0.0179536905      6.9740540541
          4.517     -0.2414016036      7.0496216216
          4.535     -0.2072136592      7.1263783784
          4.554     -0.2606831401      7.2029189189
          4.572     -0.4742314982      7.2766486486
          4.591     -0.4999002705      7.3505945946
          4.610     -0.4194926782      7.4264864865
          4.628     -0.9141397548      7.4949189189
          4.647     -0.9119333829      7.5640000000
          4.666     -1.0212206870      7.6318918919
          4.684     -0.9080621489      7.7022702703
          4.703     -1.0233196970      7.7713513514
          4.721     -0.4131556706      7.8512432432
          4.740     -0.5555536726      7.9294054054
          4.759     -0.1449071084      8.0151351351
          4.777     -0.4090580730      8.0970810811
          4.796     -0.5057019133      8.1780540541
          4.815     -0.5002341365      8.2597837838
          4.833     -0.3622317166      8.3445405405
          4.852     -0.0239601515      8.4357837838
          4.870     -0.3156683775      8.5227027027
          4.889     -0.2116569392      8.6121081081
          4.908      0.2462203200      8.7101621622
          4.926      0.1981818372      8.8081081081
          4.945      0.0515050927      8.9042162162
          4.964      0.3612215754      9.0064864865
          4.982      0.0430387750      9.1038918919
          5.001      0.1608006394      9.2041081081
          5.019      0.2653641695      9.3069189189
          5.038      0.4720854227      9.4141621622
          5.057      0.3690249091      9.5203243243
          5.075     -0.0524452648      9.6196756757
          5.094      0.1287323193      9.7230270270
          5.113     -0.1815347203      9.8215135135
          5.131     -0.3408576536      9.9178378378
          5.150     -0.4457876019     10.0129729730
          5.168     -0.3314127063     10.1109189189
          5.187     -0.2827906892     10.2104864865
          5.206     -0.3050842123     10.3103783784
          5.224     -0.2864324298     10.4113513514
          5.243     -0.0349898848     10.5177297297
          5.262     -0.1512565987     10.6227027027
          5.280     -0.2205627247     10.7271351351
          5.299     -0.5431980217     10.8262702703
          5.317     -0.0536595227     10.9353513514
          5.336      0.0659163870     11.0474594595
          5.355     -0.2319559090     11.1547027027
          5.373     -0.0162241749     11.2668108108
          5.392      0.3281868881     11.3862702703
          5.411      0.2917900427     11.5058378378
          5.429     -0.0708540862     11.6192432432
          5.448      0.1296010435     11.7372972973
          5.466     -0.0011704360     11.8536216216
          5.485      0.1584218176     11.9738378378
          5.504      0.0170591684     12.0921081081
          5.522      0.0480021974     12.2117837838
          5.541      0.2440000191     12.3361081081
          5.560      0.5429500893     12.4671351351
          5.578     -0.2774462428     12.5828108108
          5.597     -0.2683138362     12.6994594595
          5.615      0.3988870985     12.8301621622
          5.634      0.0150523058     12.9540540541
          5.653     -0.3447707111     13.0715675676
          5.671     -0.2606630227     13.1915675676
          5.690     -0.4403199767     13.3087567568
          5.709     -0.3941770219     13.4276756757
          5.727     -0.6311724724     13.5425945946
          5.746     -0.5902924795     13.6591351351
          5.764     -0.7564930040     13.7730810811
          5.783     -0.5836737043     13.8913513514
          5.802     -0.7543570812     14.0069189189
          5.820     -0.4884361387     14.1287567568
          5.839     -0.3865334502     14.2535135135
          5.858     -0.4731611259     14.3772972973
          5.876     -0.2422425407     14.5067027027
          5.895     -0.4741442584     14.6321081081
          5.913     -0.2397692904     14.7632432432
          5.932      0.0496534485     14.9012972973
          5.951      0.0137120256     15.0394594595
          5.969     -0.2729002460     15.1724324324
          5.988     -0.1497145521     15.3088648649
          6.007     -0.3936091093     15.4409729730
          6.025     -0.0885366046     15.5804324324
          6.044      0.3206762598     15.7295135135
          6.063     -0.0840440506     15.8708108108
          6.081     -0.1950388869     16.0105945946
          6.100      0.3355830750     16.1627027027
          6.118      0.1138896000     16.3109189189
          6.137      0.4758333065     16.4678918919
          6.156      0.1754033902     16.6192432432
          6.174      0.3665026381     16.7756756757
          6.193      0.1567561191     16.9284324324
          6.212      0.3219284351     17.0857297297
          6.230      0.1917803067     17.2410810811
          6.249      0.3751748425     17.4014054054
          6.267      0.0942932173     17.5564324324
          6.286      0.2231878449     17.7152432432
          6.305     -0.0558273653     17.8687567568
          6.323      0.3768799122     18.0328648649
          6.342     -0.0119818547     18.1891891892
          6.361      0.1632641314     18.3503783784
          6.379      0.3038443234     18.5156756757
          6.398      0.3097858527     18.6820540541
          6.416      0.0013367631     18.8423783784
          6.435     -0.2199924336     18.9985945946
          6.454      0.1894180553     19.1650810811
          6.472      0.1337878683     19.3312432432
          6.491     -0.1381406580     19.4921081081
          6.510     -0.0097206615     19.6568648649
          6.528      0.0336156441     19.8235675676
          6.547      0.0952541825     19.9926486486
          6.565      0.0307926461     20.1611891892
          6.584     -0.0505257799     20.3286486486
          6.603      0.1983809975     20.5016216216
          6.621      0.6568300219     20.6846486486
          6.640      0.2810032511     20.8584864865
          6.659      0.4704883063     21.0361081081
          6.677      0.2567281926     21.2083243243
          6.696      0.3095475415     21.3811891892
          6.714      1.2034798641     21.5735135135
          6.733      0.5003712318     21.7495135135
          6.752      0.2680115843     21.9197837838
          6.770      0.6721735686     22.0983783784
          6.789     -0.0016078451     22.2616216216
          6.808      0.1426178660     22.4274594595
          6.826      0.5091129439     22.6006486486
          6.845      0.7292627281     22.7779459459
          6.863      0.5114930050     22.9499459459
          6.882      0.5003393464     23.1210810811
          6.901      0.6996799246     23.2957837838
          6.919      0.9792405774     23.4756756757
          6.938      0.7014163385     23.6490810811
          6.957      0.6242535006     23.8202162162
          6.975      0.6937236063     23.9921081081
          6.994      0.4730285629     24.1588108108
          7.012      0.0631353913     24.3165405405
          7.031     -0.1801360347     24.4687567568
          7.050     -0.3615238245     24.6167567568
          7.068     -0.5613570802     24.7602162162
          7.087     -0.7033744363     24.9003243243
          7.106     -0.8249832748     25.0375135135
          7.124     -1.1143903461     25.1685405405
          7.143     -1.5973658971     25.2897297297
          7.161     -2.0979317430     25.4008648649
          7.180     -1.7840517961     25.5176216216
          7.199     -1.8418515410     25.6328648649
          7.217     -2.1126232333     25.7425945946
          7.236     -2.2423651265     25.8495135135
          7.255     -2.1640153119     25.9575135135
          7.273     -2.0314661309     26.0675675676
          7.292     -1.6663269077     26.1838918919
          7.310     -1.8549084006     26.2963243243
          7.329     -1.7762320547     26.4097297297
          7.348     -1.1708080290     26.5335135135
          7.366     -1.0001269487     26.6597837838
          7.385     -0.6427483725     26.7917837838
          7.404     -0.7674382946     26.9209729730
          7.422     -0.5764386949     27.0528648649
          7.441     -0.5201138281     27.1850810811
          7.459     -0.0899132709     27.3240000000
          7.478     -0.0728622178     27.4624864865
          7.497      0.2912213798     27.6063783784
          7.515     -0.0563827549     27.7436756757
          7.534      0.0209770448     27.8815135135
          7.553      0.0670554234     28.0193513514
          7.571     -0.1573295678     28.1527567568
          7.590     -0.0044562622     28.2878918919
          7.608      0.3734063665     28.4283243243
          7.627      0.6696273878     28.5726486486
          7.646      0.2251419342     28.7090810811
          7.664      1.0019984970     28.8568648649
          7.683      1.4443822005     29.0105945946
          7.702      1.4945663658     29.1641081081
          7.720      1.6663362017     29.3192432432
          7.739      1.4272202668     29.4697297297
          7.757      1.5444988432     29.6209729730
          7.776      1.3952824352     29.7689729730
          7.795      1.7351128197     29.9209729730
          7.813      1.8224547077     30.0731891892
          7.832      1.5384047336     30.2202162162
          7.851      1.7016546506     30.3685405405
          7.869      1.7162003980     30.5160000000
          7.888      1.4703908388     30.6589189189
          7.906      2.0495026367     30.8088648649
          7.925      1.9828998305     30.9567567568
          7.944      2.2471504720     31.1071351351
          7.962      1.5359622107     31.2467027027
          7.981      1.8018187796     31.3887567568
          8.000      1.8049457684     31.5297297297
          8.018      1.3320705321     31.6633513514
          8.037      1.5719853741     31.7990270270
          8.055      1.6579461252     31.9347027027
          8.074      1.4581387389     32.0667027027
          8.093      0.8865951475     32.1903783784
          8.111      1.3758116661     32.3191351351
          8.130      0.4424652547     32.4352432432
          8.149      0.6026069613     32.5523243243
          8.167      0.6952365820     32.6695135135
          8.186      0.4833677767     32.7831351351
          8.204      0.1850716173     32.8922162162
          8.223     -0.0179230424     32.9979459459
          8.242      0.2137890834     33.1054054054
          8.260     -0.0020515630     33.2094054054
          8.279     -0.3562153750     33.3084324324
          8.298     -0.2155244950     33.4081081081
          8.316     -0.1199033792     33.5078918919
          8.335     -0.4274260600     33.6033513514
          8.353     -1.9646668242     33.6812972973
          8.372     -1.3377235922     33.7651891892
          8.391     -1.3417742195     33.8482162162
          8.409     -1.4910575964     33.9288648649
          8.428     -1.9492303068     34.0040000000
          8.447     -2.2693551401     34.0751351351
          8.465     -2.4027100131     34.1442162162
          8.484     -2.1226135334     34.2153513514
          8.502     -2.1565099753     34.2854054054
          8.521     -2.7087642895     34.3494054054
          8.540     -2.2368399596     34.4171891892
          8.558     -2.7583505196     34.4793513514
          8.577     -2.3664014525     34.5444324324
          8.596     -2.2484292635     34.6098378378
          8.614     -2.1989186601     34.6749189189
          8.633     -2.2700294043     34.7385945946
          8.651     -2.2554717095     34.8016216216
          8.670     -2.1892319011     34.8644324324
          8.689     -2.0046389529     34.9280000000
          8.707     -1.9309937548     34.9913513514
          8.726     -1.2441595747     35.0594594595
          8.745     -0.9654951189     35.1288648649
          8.763     -1.7597141590     35.1910270270
          8.782     -0.9073903636     35.2589189189
          8.800     -0.8332234697     35.3263783784
          8.819     -0.8711731877     35.3925405405
          8.838     -0.6159588875     35.4595675676
          8.856     -1.8165110589     35.5168648649
          8.875     -1.0041493437     35.5790270270
          8.894      0.1502145091     35.6482162162
          8.912     -0.8653258251     35.7092972973
          8.931     -0.0968273061     35.7744864865
          8.949      0.2589665240     35.8408648649
          8.968     -0.5287015038     35.9009729730
          8.987     -0.5597135224     35.9597837838
          9.005     -0.3459989530     36.0188108108
          9.024      0.1284618583     36.0795675676
          9.043      0.1310700345     36.1391351351
          9.061      0.8270479417     36.2015135135
          9.080      1.5947785591     36.2669189189
          9.098      0.6160622511     36.3255135135
          9.117      1.3981531922     36.3870270270
          9.136      1.0674852251     36.4454054054
          9.154      1.0165297575     36.5021621622
          9.173      1.6576891926     36.5607567568
          9.192      1.5108796342     36.6171891892
          9.210      1.2654630381     36.6710270270
          9.229      0.7716689856     36.7211891892
          9.247      1.4620038101     36.7730810811
          9.266      0.8217080934     36.8207567568
          9.285     -0.5016682126     36.8615135135
          9.303      0.4579382827     36.9049729730
