# r/G(r)/dn[At1,At2]:      G(r)[ H, N]            dn(r)
          1.741     -1.8348640842      0.3442631579
          1.760     -1.8294563190      0.3451052632
          1.779     -1.8312104632      0.3461052632
          1.797     -1.8202511051      0.3473684211
          1.816     -1.8488392961      0.3485789474
          1.835     -1.8323377251      0.3501052632
          1.853     -1.9055274718      0.3512105263
          1.872     -1.8770254334      0.3527368421
          1.890     -1.9366838837      0.3539473684
          1.909     -1.8968987678      0.3556842105
          1.928     -1.8033075637      0.3584210526
          1.946     -1.8026410956      0.3613684211
          1.965     -1.8563044880      0.3640526316
          1.984     -1.8381150950      0.3671052632
          2.002     -1.7794811078      0.3708947368
          2.021     -1.7456112707      0.3752105263
          2.039     -1.8166519023      0.3791052632
          2.058     -1.7323119060      0.3840000000
          2.077     -1.7575755290      0.3888947368
          2.095     -1.7321810867      0.3942631579
          2.114     -1.4012594818      0.4030000000
          2.133     -1.2697144230      0.4132631579
          2.151     -1.2393213342      0.4241052632
          2.170     -1.1718175905      0.4358947368
          2.188     -1.2564553967      0.4471578947
          2.207     -1.1479601937      0.4597894737
          2.226     -1.1262652117      0.4729473684
          2.244     -1.2626561468      0.4850526316
          2.263     -1.3399061613      0.4966842105
          2.282     -1.2098079353      0.5099473684
          2.300     -1.3534423764      0.5220526316
          2.319     -1.4493998835      0.5334736842
          2.337     -1.4333367721      0.5453684211
          2.356     -1.4078568763      0.5578421053
          2.375     -1.4773032879      0.5698947368
          2.393     -1.5017115223      0.5820000000
          2.412     -1.2234004164      0.5974210526
          2.431     -1.0223314435      0.6153684211
          2.449     -0.8678983405      0.6353684211
          2.468     -0.6015999382      0.6586842105
          2.486     -0.5479525398      0.6830000000
          2.505     -0.0253951481      0.7135789474
          2.524      0.0179376564      0.7451052632
          2.542      0.4586235474      0.7821052632
          2.561      0.4926122536      0.8200000000
          2.580      0.9320442225      0.8634736842
          2.598      1.0793876168      0.9092105263
          2.617      1.3548247744      0.9587368421
          2.635      1.6126763878      1.0118947368
          2.654      2.0795619298      1.0712105263
          2.673      2.2489020089      1.1332105263
          2.691      2.3543666502      1.1971578947
          2.710      2.4363759844      1.2627894737
          2.729      2.3702714268      1.3283157895
          2.747      2.2833559417      1.3934736842
          2.766      2.1547648566      1.4577368421
          2.784      2.0699053373      1.5216315789
          2.803      1.6162618402      1.5805263158
          2.822      1.4395633805      1.6378421053
          2.840      1.5011990205      1.6965789474
          2.859      1.3105449853      1.7535263158
          2.878      1.2653031268      1.8105263158
          2.896      0.9520641470      1.8641052632
          2.915      0.9455219763      1.9182105263
          2.933      0.9267613798      1.9726842105
          2.952      0.8242217233      2.0264210526
          2.971      0.8971019206      2.0817368421
          2.989      0.7797591445      2.1361052632
          3.008      0.5775000394      2.1883684211
          3.027      0.9026634713      2.2456315789
          3.045      0.5546996172      2.2987894737
          3.064      0.5834847275      2.3529473684
          3.082      0.6575112807      2.4087368421
          3.101      0.5025942923      2.4630000000
          3.120      0.3832495910      2.5162105263
          3.138      0.2088021456      2.5675789474
          3.157      0.3830243988      2.6220000000
          3.176      0.5104698773      2.6788421053
          3.194      0.2565208341      2.7326842105
          3.213      0.4890243625      2.7904736842
          3.231      0.1064835581      2.8433684211
          3.250      0.2135392690      2.8984210526
          3.269      0.2543037173      2.9546842105
          3.287      0.3946613100      3.0136315789
          3.306      0.6471748300      3.0769473684
          3.325      0.5991386689      3.1402105263
          3.343      0.5267566141      3.2030526316
          3.362      0.7351347832      3.2696842105
          3.380      0.7772890659      3.3376315789
          3.399      0.6074568129      3.4036842105
          3.418      0.4289170656      3.4676842105
          3.436      0.7249317303      3.5368947368
          3.455      0.5779129999      3.6045263158
          3.474      0.6593570890      3.6741052632
          3.492      0.6857688511      3.7447894737
          3.511      0.7318050259      3.8168947368
          3.529      0.7337713229      3.8897368421
          3.548      0.5596230281      3.9605263158
          3.567      1.0803187612      4.0403157895
          3.585      0.7908140730      4.1162105263
          3.604      0.7752524612      4.1925789474
          3.623      0.6913854835      4.2683157895
          3.641      1.0641040431      4.3508421053
          3.660      1.0178092506      4.4333684211
          3.678      1.1286175007      4.5184736842
          3.697      1.2763195549      4.6067894737
          3.716      1.5522547608      4.7004736842
          3.734      1.4878664658      4.7938947368
          3.753      1.2576363381      4.8842631579
          3.772      1.1324977158      4.9733157895
          3.790      1.0052810790      5.0610000000
          3.809      0.8852907754      5.1474210526
          3.827      0.5816941117      5.2294210526
          3.846      0.3114528526      5.3075263158
          3.865      0.2111815154      5.3846315789
          3.883     -0.1308831800      5.4565263158
          3.902     -0.2827923362      5.5264736842
          3.921     -0.3974147721      5.5951052632
          3.939     -0.6277171578      5.6603684211
          3.958     -0.8649695958      5.7221052632
          3.976     -0.7833670182      5.7859473684
          3.995     -0.7351352643      5.8513157895
          4.014     -0.6582063506      5.9187368421
          4.032     -0.6639359089      5.9867368421
          4.051     -0.8151273083      6.0526842105
          4.070     -0.8465003672      6.1187368421
          4.088     -0.4976091498      6.1918421053
          4.107     -0.5305093688      6.2650526316
          4.125     -0.4776765267      6.3399473684
          4.144     -0.5249450280      6.4146842105
          4.163     -0.3315518666      6.4937368421
          4.181     -0.2470681708      6.5751052632
          4.200     -0.1382848446      6.6592631579
          4.219     -0.1060008649      6.7447894737
          4.237     -0.1742163206      6.8297894737
          4.256     -0.1396497826      6.9162105263
          4.274     -0.3121541108      7.0001052632
          4.293     -0.3544373993      7.0839473684
          4.312     -0.2791101728      7.1700000000
          4.330     -0.4058135621      7.2543684211
          4.349     -0.2771153396      7.3420000000
          4.368     -0.7292897973      7.4215789474
          4.386     -0.7724585959      7.5010526316
          4.405     -0.8100895895      7.5805263158
          4.423     -0.9513850089      7.6579473684
          4.442     -0.9485348682      7.7361578947
          4.461     -0.7004028658      7.8200526316
          4.479     -0.6122183455      7.9064736842
          4.498     -0.6191701665      7.9935263158
          4.517     -0.7122607438      8.0794736842
          4.535     -0.9864873169      8.1606315789
          4.554     -0.6406901753      8.2495789474
          4.572     -0.5528045728      8.3411052632
          4.591     -0.4504108242      8.4355263158
          4.610     -0.4946004717      8.5298421053
          4.628     -0.4902645581      8.6250526316
          4.647     -0.2580908301      8.7258947368
          4.666     -0.3509587587      8.8256315789
          4.684     -0.4206287919      8.9247368421
          4.703     -0.0843198085      9.0317368421
          4.721     -0.2121718883      9.1368947368
          4.740     -0.3565680234      9.2398421053
          4.759     -0.2129821980      9.3466842105
          4.777     -0.5685240835      9.4467894737
          4.796     -0.5900353258      9.5472631579
          4.815     -0.5186086399      9.6501052632
          4.833     -0.4868680364      9.7544736842
          4.852     -0.4967832309      9.8594736842
          4.870     -0.5164492053      9.9648947368
          4.889     -0.5120388496     10.0712631579
          4.908     -0.4646332942     10.1795263158
          4.926     -0.3532097242     10.2911052632
          4.945     -0.6213668791     10.3976315789
          4.964     -0.5840345532     10.5058421053
          4.982     -0.5943995214     10.6146842105
          5.001     -0.8096767726     10.7195789474
          5.019     -0.7842460546     10.8258947368
          5.038     -0.7918734137     10.9328947368
          5.057     -0.5225122959     11.0468421053
          5.075     -0.6542989169     11.1586842105
          5.094     -0.6488988641     11.2715263158
          5.113     -0.6321725428     11.3856315789
          5.131     -0.5262260690     11.5030526316
          5.150     -0.6704036121     11.6180526316
          5.168     -0.6291647406     11.7348947368
          5.187     -0.6451168390     11.8522631579
          5.206     -0.7018135560     11.9692105263
          5.224     -0.5847155525     12.0897894737
          5.243     -0.5000351149     12.2132631579
          5.262     -0.3623928691     12.3408947368
          5.280     -0.0407867540     12.4770526316
          5.299     -0.1393281343     12.6118421053
          5.317     -0.1354671620     12.7476842105
          5.336     -0.0920587693     12.8855263158
          5.355     -0.0556914459     13.0252105263
          5.373     -0.2322673145     13.1616315789
          5.392     -0.0845834971     13.3025789474
          5.411      0.0401810743     13.4475263158
          5.429     -0.0095450340     13.5922631579
          5.448     -0.0677162975     13.7365789474
          5.466     -0.1170152118     13.8806842105
          5.485     -0.0630824562     14.0271052632
          5.504     -0.0032354607     14.1760000000
          5.522     -0.1827261004     14.3214736842
          5.541     -0.2655256368     14.4658947368
          5.560      0.0036502873     14.6180000000
          5.578     -0.0182806108     14.7705789474
          5.597      0.0607768171     14.9261578947
          5.615      0.0175625926     15.0816842105
          5.634      0.3527551213     15.2466842105
          5.653      0.3752472973     15.4133157895
          5.671      0.2645874604     15.5782105263
          5.690      0.3635165295     15.7466842105
          5.709      0.4513536346     15.9184736842
          5.727      0.6371662116     16.0961052632
          5.746      0.4404956243     16.2697894737
          5.764      0.2510911561     16.4396842105
          5.783      0.4964365711     16.6170000000
          5.802      0.5553965589     16.7969473684
          5.820      0.5369762939     16.9775263158
          5.839      0.7262411104     17.1641578947
          5.858      0.6186907605     17.3491052632
          5.876      0.9404852713     17.5436315789
          5.895      0.9744922516     17.7402105263
          5.913      0.9922272616     17.9384210526
          5.932      1.1327818349     18.1415263158
          5.951      0.8904546206     18.3393684211
          5.969      1.2412456723     18.5477368421
          5.988      1.3478707322     18.7601578947
          6.007      0.9381711020     18.9627894737
          6.025      0.9666542502     19.1673684211
          6.044      0.8701550433     19.3705263158
          6.063      0.8925938739     19.5754736842
          6.081      0.5662538209     19.7727368421
          6.100      0.4830674694     19.9688947368
          6.118      0.3906407615     20.1636842105
          6.137      0.4195206552     20.3604210526
          6.156      0.2510868861     20.5536842105
          6.174      0.2914082311     20.7492105263
          6.193      0.0670885581     20.9396842105
          6.212      0.0847273181     21.1317894737
          6.230      0.3553837334     21.3325789474
          6.249      0.2794850007     21.5324210526
          6.267      0.2151875409     21.7316315789
          6.286      0.4583370559     21.9388421053
          6.305      0.4478082256     22.1469473684
          6.323      0.3720486229     22.3541052632
          6.342      0.5119781810     22.5664210526
          6.361      0.7749955640     22.7874210526
          6.379      0.8240962362     23.0110526316
          6.398      0.8212611816     23.2358421053
          6.416      0.5907794141     23.4552631579
          6.435      0.5646124330     23.6751578947
          6.454      0.4709738503     23.8935789474
          6.472      0.3395532245     24.1094210526
          6.491      0.4427715743     24.3294736842
          6.510      0.2811998728     24.5460526316
          6.528      0.2214359722     24.7621052632
          6.547     -0.0791021226     24.9705789474
          6.565      0.0720890357     25.1846842105
          6.584     -0.0201470285     25.3971052632
          6.603     -0.4098645189     25.5977894737
          6.621     -0.5773691612     25.7930526316
          6.640     -0.7120164667     25.9838947368
          6.659     -0.9449153446     26.1675263158
          6.677     -0.9650624391     26.3501052632
          6.696     -1.1221269676     26.5277368421
          6.714     -1.0276786656     26.7075789474
          6.733     -1.1584060588     26.8832631579
          6.752     -1.1228276656     27.0594736842
          6.770     -1.2021509593     27.2330000000
          6.789     -0.9505260575     27.4130000000
          6.808     -0.7224463667     27.5987368421
          6.826     -0.4392397745     27.7916315789
          6.845     -0.4531884275     27.9835263158
          6.863     -0.2190008232     28.1811052632
          6.882     -0.2096251877     28.3782631579
          6.901     -0.0950612649     28.5777894737
          6.919     -0.2593985775     28.7722631579
          6.938      0.1251819580     28.9761578947
          6.957      0.0392789645     29.1770526316
          6.975      0.1655181164     29.3804736842
          6.994     -0.0676924225     29.5771052632
          7.012      0.0024919467     29.7747894737
          7.031     -0.0192066628     29.9711578947
          7.050      0.1193801617     30.1702631579
          7.068      0.0484169303     30.3667894737
          7.087      0.5927904107     30.5761052632
          7.106      0.3547012346     30.7786315789
          7.124      0.3189321074     30.9794210526
          7.143      0.3044821686     31.1790000000
          7.161      0.6369135060     31.3857894737
          7.180      0.5093553736     31.5885789474
          7.199      0.5715022365     31.7919473684
          7.217      0.6370192793     31.9959473684
          7.236      0.3449414558     32.1921052632
          7.255      0.5068733223     32.3911578947
          7.273      0.6601119352     32.5928421053
          7.292      0.4083100779     32.7877368421
          7.310      0.1577383609     32.9759473684
          7.329      0.2202814347     33.1646842105
          7.348      0.3073177793     33.3544736842
          7.366      0.3537513288     33.5443684211
          7.385      0.3846521537     33.7340000000
          7.404      0.4829561860     33.9248421053
          7.422     -0.3016784547     34.0974736842
          7.441     -0.1774991168     34.2719473684
          7.459     -0.4260207037     34.4401578947
          7.478     -0.5627675500     34.6045789474
          7.497     -0.3576281583     34.7725263158
          7.515     -0.7395809682     34.9315263158
          7.534     -0.7178228334     35.0901578947
          7.553     -0.9207468513     35.2437368421
          7.571     -0.7437314364     35.4001578947
          7.590     -0.8645825143     35.5532631579
          7.608     -0.9792976899     35.7032105263
          7.627     -0.9857026147     35.8522105263
          7.646     -0.8336056618     36.0034210526
          7.664     -1.1042002684     36.1484210526
          7.683     -0.8505772785     36.2975789474
          7.702     -0.9466839663     36.4440000000
          7.720     -0.4382869554     36.5993684211
          7.739     -0.5069895601     36.7524736842
          7.757     -0.2877502369     36.9087894737
          7.776     -0.1931271694     37.0658947368
          7.795     -0.0851394360     37.2240000000
          7.813      0.0308707618     37.3832105263
          7.832      0.0659061460     37.5420000000
          7.851      0.0671092541     37.6997368421
          7.869      0.3149463204     37.8608421053
          7.888      0.2186723198     38.0191052632
          7.906      0.1866741239     38.1756842105
          7.925      0.2961715693     38.3330526316
          7.944      0.4812350534     38.4924736842
          7.962      0.7594384736     38.6554736842
          7.981      0.8852020411     38.8193684211
          8.000      0.6753047714     38.9784736842
          8.018      0.6452545064     39.1358421053
          8.037      1.0755618433     39.2990526316
          8.055      1.2986106237     39.4645789474
          8.074      1.6703202275     39.6347368421
          8.093      1.6774966320     39.8035789474
          8.111      1.4119360934     39.9667894737
          8.130      1.2152632834     40.1255263158
          8.149      1.1714241962     40.2822105263
          8.167      0.8000801249     40.4318421053
          8.186      0.7690069958     40.5796842105
          8.204      0.7623292097     40.7261052632
          8.223      0.6634462512     40.8697368421
          8.242      0.4332203860     41.0086842105
          8.260      0.5439898148     41.1479473684
          8.279      0.2858663429     41.2822105263
          8.298      0.2382541968     41.4145263158
          8.316      0.4840978784     41.5490000000
          8.335      0.6066260479     41.6838421053
          8.353      1.1266456908     41.8244210526
          8.372      0.0254532088     41.9487368421
          8.391      0.0652318236     42.0723157895
          8.409      0.1666851666     42.1959473684
          8.428     -0.2201361342     42.3132631579
          8.447     -0.0528638476     42.4314736842
          8.465     -0.1932647761     42.5466315789
          8.484     -0.7085863841     42.6541052632
          8.502     -0.6893117021     42.7606315789
          8.521     -0.7731059651     42.8649473684
          8.540     -1.2106997601     42.9628421053
          8.558     -1.3878531653     43.0575263158
          8.577     -1.6147584708     43.1484736842
          8.596     -1.5399801815     43.2392105263
          8.614     -1.5695719231     43.3285263158
          8.633     -1.3960593004     43.4186842105
          8.651     -1.1206218122     43.5107368421
          8.670     -1.2797346237     43.5998947368
          8.689     -0.5716414474     43.6954210526
          8.707     -1.2338878839     43.7827368421
          8.726     -0.7666556158     43.8736842105
          8.745     -0.8134007496     43.9628947368
          8.763     -0.7342301297     44.0516315789
          8.782     -0.3131812790     44.1432105263
          8.800      0.3035081746     44.2393684211
          8.819     -0.6759038644     44.3247894737
          8.838     -0.2969219515     44.4124210526
          8.856     -0.0244299565     44.5011578947
          8.875      0.1767407418     44.5902631579
          8.894      0.0512513906     44.6767894737
          8.912     -0.5112831296     44.7570000000
          8.931      0.0490548575     44.8405789474
          8.949     -0.3822184050     44.9191052632
          8.968      0.3542750710     45.0022105263
          8.987      0.6003489756     45.0857368421
          9.005      0.3583344226     45.1657894737
          9.024      0.6308178067     45.2463684211
          9.043      1.2548079609     45.3300000000
          9.061      0.4875170116     45.4063157895
          9.080      0.8587732129     45.4836842105
          9.098      0.6518021135     45.5579473684
          9.117      1.0163089939     45.6330526316
          9.136      0.3526141401     45.7020526316
          9.154      0.7710025948     45.7721578947
          9.173      1.0120638442     45.8421052632
          9.192      0.9583662327     45.9100000000
          9.210      1.0439640715     45.9766842105
          9.229      1.1901043404     46.0424736842
          9.247      0.4771643267     46.1024736842
          9.266      1.1373486384     46.1644210526
          9.285      1.1749638204     46.2247894737
          9.303      0.8677624532     46.2817894737
