# r/G(r)/dn[At1,At2]:      G(r)[ N, C]            dn(r)
          1.741     -1.9057204965      0.1040000000
          1.760     -1.9161530590      0.1041666667
          1.779     -1.9569812819      0.1041666667
          1.797     -1.9774732325      0.1041666667
          1.816     -1.9979651831      0.1041666667
          1.835     -2.0184571337      0.1041666667
          1.853     -2.0389490843      0.1041666667
          1.872     -2.0594410349      0.1041666667
          1.890     -2.0799329855      0.1041666667
          1.909     -2.1004249361      0.1041666667
          1.928     -2.1209168867      0.1041666667
          1.946     -2.1414088373      0.1041666667
          1.965     -2.1619007879      0.1041666667
          1.984     -2.1823927385      0.1041666667
          2.002     -2.2028846890      0.1041666667
          2.021     -2.2233766396      0.1041666667
          2.039     -2.2438685902      0.1041666667
          2.058     -2.2643605408      0.1041666667
          2.077     -2.2848524914      0.1041666667
          2.095     -2.3053444420      0.1041666667
          2.114     -2.3258363926      0.1041666667
          2.133     -2.3463283432      0.1041666667
          2.151     -2.3668202938      0.1041666667
          2.170     -2.3873122444      0.1041666667
          2.188     -2.4078041950      0.1041666667
          2.207     -2.4282961456      0.1041666667
          2.226     -2.4487880962      0.1041666667
          2.244     -2.4692800468      0.1041666667
          2.263     -2.4700005486      0.1043750000
          2.282     -2.4671218358      0.1048333333
          2.300     -2.3984872837      0.1062500000
          2.319     -2.3968875812      0.1079166667
          2.337     -2.2922769680      0.1109583333
          2.356     -2.2466141711      0.1147500000
          2.375     -1.9532873912      0.1220416667
          2.393     -1.8181391118      0.1311250000
          2.412     -1.9636454050      0.1388750000
          2.431     -1.9305198104      0.1472916667
          2.449     -2.0078172741      0.1551250000
          2.468     -2.1604035641      0.1615000000
          2.486     -2.2102430905      0.1675833333
          2.505     -2.0524647479      0.1757916667
          2.524     -1.9256835363      0.1857916667
          2.542     -1.9242516333      0.1961250000
          2.561     -1.5946877173      0.2107083333
          2.580     -1.7558289413      0.2237083333
          2.598     -1.7255302130      0.2374166667
          2.617     -1.3676776002      0.2558333333
          2.635     -1.1645694909      0.2771250000
          2.654     -0.8668244350      0.3025000000
          2.673     -0.9217132057      0.3276250000
          2.691     -0.6635859837      0.3564166667
          2.710     -0.1583334015      0.3920416667
          2.729      0.0511456548      0.4308333333
          2.747      0.2803073614      0.4730833333
          2.766      0.3249280486      0.5164583333
          2.784      0.2112067049      0.5589166667
          2.803      0.5648058998      0.6065416667
          2.822      0.7993009678      0.6578333333
          2.840      1.0115491262      0.7125416667
          2.859      1.5775790810      0.7754166667
          2.878      1.4674330336      0.8375000000
          2.896      1.6272433750      0.9024166667
          2.915      2.1193741731      0.9747083333
          2.933      2.7300643402      1.0560833333
          2.952      2.4567694440      1.1345000000
          2.971      2.8222205778      1.2187500000
          2.989      2.8954920963      1.3048333333
          3.008      2.7325848584      1.3894583333
          3.027      3.1479672926      1.4807500000
          3.045      2.9027288210      1.5694166667
          3.064      2.5317140745      1.6536250000
          3.082      2.4581388088      1.7375833333
          3.101      2.4371414427      1.8220416667
          3.120      1.9973719993      1.9009166667
          3.138      2.0872220878      1.9818750000
          3.157      1.8498028655      2.0601250000
          3.176      1.3979519205      2.1324583333
          3.194      0.9791458062      2.1992916667
          3.213      0.2613706390      2.2560833333
          3.231      0.3851475310      2.3153750000
          3.250      0.1796304350      2.3722083333
          3.269      0.0391865206      2.4275416667
          3.287      0.1260347080      2.4848333333
          3.306      0.3145298324      2.5456666667
          3.325     -0.1937451749      2.5992916667
          3.343     -0.3138331158      2.6516666667
          3.362     -0.6697141504      2.6990833333
          3.380     -0.6671887569      2.7471250000
          3.399     -0.4858994725      2.7986250000
          3.418     -0.6471811156      2.8481666667
          3.436     -0.7704798521      2.8963333333
          3.455     -0.4963978942      2.9495000000
          3.474     -0.5449146926      3.0025000000
          3.492     -0.6469427124      3.0544583333
          3.511     -0.6334098736      3.1072500000
          3.529     -0.8915180067      3.1564166667
          3.548     -0.7536939137      3.2084583333
          3.567     -0.6827537589      3.2622916667
          3.585     -0.8548593373      3.3138750000
          3.604     -0.9285634072      3.3648333333
          3.623     -1.0758253797      3.4139166667
          3.641     -0.7646891803      3.4688750000
          3.660     -0.6525305072      3.5263750000
          3.678     -0.9893222749      3.5787500000
          3.697     -1.0252188855      3.6311250000
          3.716     -1.0441032429      3.6837916667
          3.734     -1.0174749057      3.7375416667
          3.753     -1.2917432413      3.7871250000
          3.772     -0.9964579547      3.8425000000
          3.790     -0.7042761177      3.9036666667
          3.809     -0.6947282775      3.9656666667
          3.827     -1.0385026891      4.0222083333
          3.846     -1.0510919808      4.0791666667
          3.865     -0.8461087160      4.1404583333
          3.883     -0.8806318894      4.2017916667
          3.902     -0.6123044712      4.2686666667
          3.921     -0.8054862566      4.3327083333
          3.939     -0.6222174417      4.4007916667
          3.958     -0.5426083043      4.4710416667
          3.976     -0.6439642469      4.5401250000
          3.995     -0.6863300892      4.6091250000
          4.014     -0.9336030010      4.6742083333
          4.032     -1.0744804430      4.7373333333
          4.051     -1.0772955841      4.8010833333
          4.070     -0.9307509275      4.8682916667
          4.088     -1.0483877855      4.9339583333
          4.107     -1.2806253685      4.9958750000
          4.125     -1.4415409244      5.0553750000
          4.144     -1.2643407449      5.1189583333
          4.163     -1.4135076726      5.1803333333
          4.181     -1.3903218213      5.2428333333
          4.200     -1.4122657531      5.3055833333
          4.219     -1.2157149300      5.3728750000
          4.237     -1.2618242060      5.4399583333
          4.256     -1.1941679042      5.5090833333
          4.274     -1.0665695519      5.5814583333
          4.293     -1.1132591706      5.6536250000
          4.312     -0.8587938010      5.7316250000
          4.330     -0.6211587550      5.8151666667
          4.349     -0.2643365984      5.9067083333
          4.368     -0.0623451111      6.0031666667
          4.386     -0.3824736043      6.0939166667
          4.405     -0.2003207918      6.1892083333
          4.423     -0.3880495041      6.2814583333
          4.442     -0.5925059373      6.3702916667
          4.461     -0.6309302962      6.4591250000
          4.479     -1.0867260245      6.5392500000
          4.498     -1.1052202236      6.6197500000
          4.517     -1.2505296089      6.6979583333
          4.535     -1.3967868962      6.7738333333
          4.554     -1.1490107299      6.8557083333
          4.572     -1.2791677584      6.9355833333
          4.591     -1.4474166151      7.0126250000
          4.610     -1.3038786632      7.0935000000
          4.628     -1.2061289171      7.1772500000
          4.647     -1.1131782866      7.2637916667
          4.666     -1.3932170803      7.3450416667
          4.684     -1.5642133444      7.4233333333
          4.703     -1.3648809911      7.5067500000
          4.721     -1.0194527031      7.5985416667
          4.740     -0.7240953232      7.6976666667
          4.759     -0.6907088357      7.7983750000
          4.777     -0.4460829633      7.9053750000
          4.796     -0.6158621845      8.0094583333
          4.815     -0.2120373218      8.1234583333
          4.833     -0.0910499477      8.2410833333
          4.852      0.1653317382      8.3654166667
          4.870      0.3387555940      8.4946250000
          4.889      0.6058765270      8.6308750000
          4.908      0.3292844369      8.7617916667
          4.926      0.8011856124      8.9045000000
          4.945      0.6143030351      9.0439166667
          4.964      0.8054560536      9.1887500000
          4.982      0.6358129580      9.3306666667
          5.001      0.4708596138      9.4697500000
          5.019      0.8061454701      9.6176666667
          5.038      0.8084370533      9.7666666667
          5.057      0.4566393481      9.9084166667
          5.075      0.6996793125     10.0569166667
          5.094      0.5297321322     10.2024166667
          5.113      0.4868931251     10.3479166667
          5.131      0.6029125477     10.4972083333
          5.150      0.7405334421     10.6508333333
          5.168      0.5220889437     10.8002500000
          5.187      0.4413511881     10.9487500000
          5.206      0.4521492349     11.0985416667
          5.224      0.3359748676     11.2465416667
          5.243      0.4628379387     11.3986666667
          5.262      0.5971613021     11.5551250000
          5.280      0.2575702425     11.7042916667
          5.299     -0.0308039415     11.8473750000
          5.317      0.0815295462     11.9942500000
          5.336      0.4360946984     12.1509583333
          5.355      0.5440665153     12.3114166667
          5.373      0.3930212276     12.4691666667
          5.392      0.4934744562     12.6305000000
          5.411      0.6989425227     12.7980833333
          5.429      0.8583590378     12.9707916667
          5.448      1.0608944994     13.1497500000
          5.466      1.1833359927     13.3329583333
          5.485      0.9866830370     13.5122916667
          5.504      0.7749635388     13.6873333333
          5.522      1.0231070052     13.8698750000
          5.541      1.3744164560     14.0626250000
          5.560      1.1373612711     14.2504166667
          5.578      1.0846274595     14.4380000000
          5.597      0.9058006500     14.6220833333
          5.615      0.7662688074     14.8036666667
          5.634      0.5830527396     14.9815833333
          5.653      0.6256987217     15.1617500000
          5.671      0.5022581137     15.3397916667
          5.690      0.3905001124     15.5160000000
          5.709      0.1899883354     15.6880000000
          5.727      0.2515739160     15.8627500000
          5.746      0.1319725260     16.0354166667
          5.764     -0.0490819221     16.2043333333
          5.783      0.1082175681     16.3785833333
          5.802      0.0762063042     16.5530833333
          5.820      0.0827046444     16.7288750000
          5.839     -0.1040681248     16.9007083333
          5.858      0.0906034324     17.0789583333
          5.876     -0.1363862354     17.2521250000
          5.895      0.0553802960     17.4316666667
          5.913     -0.0840729952     17.6085000000
          5.932      0.0894745501     17.7912500000
          5.951      0.0377485161     17.9737083333
          5.969      0.2965226792     18.1645000000
          5.988      0.4534349983     18.3608333333
          6.007      0.3798236524     18.5562916667
          6.025      0.2634711351     18.7496666667
          6.044      0.3253791579     18.9459583333
          6.063      0.2996949732     19.1427083333
          6.081     -0.1365091462     19.3282916667
          6.100     -0.3838632257     19.5080000000
          6.118     -0.5786467644     19.6832916667
          6.137     -0.6367677914     19.8580416667
          6.156     -0.5507445990     20.0363750000
          6.174     -0.2899966859     20.2233333333
          6.193     -0.3127072604     20.4107916667
          6.212     -0.1510044840     20.6040833333
          6.230     -0.3264896055     20.7934583333
          6.249     -0.0141580451     20.9930833333
          6.267      0.0377668702     21.1954166667
          6.286      0.1746757273     21.4029583333
          6.305     -0.1591488781     21.6019166667
          6.323     -0.0043108257     21.8066250000
          6.342     -0.1228273514     22.0090416667
          6.361     -0.2914173759     22.2076666667
          6.379     -0.0537421913     22.4145416667
          6.398      0.0187835983     22.6247916667
          6.416     -0.0082490574     22.8354583333
          6.435     -0.1006015451     23.0445833333
          6.454      0.0889356737     23.2606250000
          6.472     -0.3075697247     23.4659583333
          6.491     -0.3034964499     23.6726250000
          6.510      0.0207353111     23.8903333333
          6.528      0.0592543620     24.1104583333
          6.547      0.1111061697     24.3334166667
          6.565     -0.2040926874     24.5480000000
          6.584      0.1355682597     24.7740416667
          6.603      0.0312847454     24.9965416667
          6.621      0.2036681237     25.2236250000
          6.640      0.1309012881     25.4478333333
          6.659      0.1562158066     25.6721250000
          6.677      0.4924276391     25.9057500000
          6.696      0.7203179567     26.1453750000
          6.714      0.7573467506     26.3852916667
          6.733      0.9245389327     26.6292916667
          6.752      0.4112104063     26.8575000000
          6.770      0.0618861695     27.0748333333
          6.789      0.1634627114     27.2943750000
          6.808      0.4049742107     27.5200833333
          6.826      0.2831080859     27.7415416667
          6.845     -0.0922811244     27.9516250000
          6.863     -0.0267285974     28.1628333333
          6.882      0.1220450013     28.3774583333
          6.901     -0.1268616023     28.5844166667
          6.919     -0.3529325342     28.7844166667
          6.938     -0.2908975865     28.9854166667
          6.957      0.0034843405     29.1937083333
          6.975     -0.0896542004     29.3987083333
          6.994     -0.2178649858     29.5995000000
          7.012      0.0538611649     29.8067916667
          7.031     -0.0714083724     30.0099583333
          7.050      0.2148947716     30.2198750000
          7.068      0.1293923815     30.4267083333
          7.087      0.4005614039     30.6397500000
          7.106      0.0816655739     30.8436666667
          7.124      0.0366086715     31.0455833333
          7.143     -0.3392696634     31.2370833333
          7.161     -0.5915331697     31.4214166667
          7.180     -0.1254773794     31.6167083333
          7.199     -0.1553857614     31.8104166667
          7.217      0.0449932307     32.0082500000
          7.236      0.0147492151     32.2044583333
          7.255      0.3135817851     32.4070833333
          7.273      0.4984412992     32.6132500000
          7.292      0.6741466710     32.8226666667
          7.310      0.8370128411     33.0349583333
          7.329      0.8954648614     33.2475833333
          7.348      0.3891373447     33.4472083333
          7.366      0.6862701190     33.6527916667
          7.385      1.0096895680     33.8648333333
          7.404      1.1393509036     34.0787500000
          7.422      1.0836004668     34.2902500000
          7.441      0.9391754064     34.4973333333
          7.459      0.4486850722     34.6922500000
          7.478      0.6333653628     34.8902500000
          7.497      0.1992236175     35.0775416667
          7.515     -0.1467376214     35.2562083333
          7.534     -0.0435012699     35.4361666667
          7.553     -0.2000029508     35.6117500000
          7.571     -0.1472462152     35.7875000000
          7.590      0.1120568698     35.9677916667
          7.608      0.7939752474     36.1614583333
          7.627      0.2489205978     36.3425416667
          7.646      0.6112643522     36.5300833333
          7.664      0.5150874995     36.7145000000
          7.683      0.6357711287     36.9002500000
          7.702      0.6889610684     37.0859166667
          7.720      0.4696629333     37.2660000000
          7.739      0.6653027358     37.4488333333
          7.757     -0.1334702713     37.6147083333
          7.776     -0.1242120437     37.7797083333
          7.795      0.0123175481     37.9462916667
          7.813      0.1950308169     38.1152916667
          7.832      0.3180144563     38.2855000000
          7.851      0.8674438452     38.4649166667
          7.869      1.0821335221     38.6470833333
          7.888      1.0088999015     38.8265833333
          7.906      0.9414792894     39.0035416667
          7.925      1.1802329699     39.1835416667
          7.944      1.2088122815     39.3627083333
          7.962      0.9860435026     39.5365416667
          7.981      1.0919315823     39.7109166667
          8.000      1.0001987741     39.8823333333
          8.018      0.9455401256     40.0514583333
          8.037      0.2193207179     40.2067916667
          8.055      0.2693549874     40.3617500000
          8.074      0.4399287399     40.5183333333
          8.093      0.4114409338     40.6731666667
          8.111      0.0838652164     40.8213333333
          8.130      0.6048548122     40.9767500000
          8.149      0.3974020716     41.1275000000
          8.167      0.3088281229     41.2755416667
          8.186      0.6048918867     41.4269583333
          8.204      0.2956083627     41.5722083333
          8.223      0.6559026228     41.7217083333
          8.242      0.7595621985     41.8714166667
          8.260      0.8965141282     42.0217916667
          8.279      0.9643648735     42.1717500000
          8.298      0.7596102639     42.3172500000
          8.316      0.9831678023     42.4645833333
          8.335      0.7108811081     42.6065416667
          8.353      1.1986465154     42.7540000000
          8.372      1.5919967955     42.9054583333
          8.391      1.2524418633     43.0506250000
          8.409      0.9535499946     43.1901666667
          8.428      1.0240608923     43.3291666667
          8.447      0.3215179214     43.4572916667
          8.465      0.2092300836     43.5825416667
          8.484      0.6306044114     43.7118750000
          8.502      0.9598284138     43.8439583333
          8.521      0.7841007765     43.9722916667
          8.540      0.7010370138     44.0980833333
          8.558      1.3691344983     44.2305833333
          8.577      0.7531420231     44.3540000000
          8.596      0.8178694291     44.4766666667
          8.614      0.4955367620     44.5940000000
          8.633      0.6422481110     44.7115416667
          8.651      0.7466001246     44.8287500000
          8.670      0.9956109293     44.9472083333
          8.689      0.0299257393     45.0533750000
          8.707      0.2576440253     45.1605833333
          8.726      0.6099485055     45.2700833333
          8.745      0.2478724705     45.3742083333
          8.763     -0.4628923671     45.4694583333
          8.782     -0.3273656249     45.5647083333
          8.800     -0.6475351426     45.6553333333
          8.819      0.2180117387     45.7531250000
          8.838     -0.3949802873     45.8434583333
          8.856     -0.3943010372     45.9323750000
          8.875     -0.0001213932     46.0235416667
          8.894     -0.5769703667     46.1079166667
          8.912      0.3727555475     46.1994166667
          8.931      1.0251073723     46.2950833333
          8.949      0.9957943002     46.3887916667
          8.968      1.3547695822     46.4838333333
          8.987      1.1721177933     46.5755833333
          9.005      1.7366095809     46.6701666667
          9.024      1.4407908144     46.7605416667
          9.043      1.6739048485     46.8509166667
          9.061      1.5349328984     46.9383750000
          9.080      2.2990538971     47.0296666667
          9.098      2.6068011788     47.1212083333
          9.117      2.3187387547     47.2086666667
          9.136      3.0304916259     47.2990416667
          9.154      3.2107945699     47.3885000000
          9.173      3.3318618869     47.4765833333
          9.192      3.4540938545     47.5632500000
          9.210      3.2959958031     47.6467083333
          9.229      3.8886739022     47.7315416667
          9.247      2.9553942009     47.8085833333
          9.266      2.9689693470     47.8835416667
          9.285      2.5016690334     47.9537500000
          9.303      2.5274422765     48.0220000000
