# r/G(r)/dn[At1,At2]:      G(r)[Si, C]            dn(r)
          1.741     -1.4496837591      0.0049687500
          1.760     -0.7468173999      0.0147187500
          1.779      0.5861046712      0.0357812500
          1.797      2.2382415870      0.0710625000
          1.816      3.3275795909      0.1160937500
          1.835      5.6015923493      0.1811875000
          1.853      6.6778660631      0.2564062500
          1.872      8.6430081087      0.3496875000
          1.890      9.9229092521      0.4553437500
          1.909     11.3883643794      0.5752500000
          1.928     10.9625105416      0.6926875000
          1.946      8.9168776657      0.7929062500
          1.965      7.2921701537      0.8794062500
          1.984      5.0716559252      0.9464062500
          2.002      2.9825742541      0.9947500000
          2.021      1.2703700171      1.0276250000
          2.039      0.1682314692      1.0505312500
          2.058     -0.6469326911      1.0660312500
          2.077     -1.2539409852      1.0760000000
          2.095     -1.6743590188      1.0821562500
          2.114     -2.0115359403      1.0852500000
          2.133     -2.1512127743      1.0871875000
          2.151     -2.2357895895      1.0885000000
          2.170     -2.2450342541      1.0899375000
          2.188     -2.2759370967      1.0912812500
          2.207     -2.3674801879      1.0919062500
          2.226     -2.4186345744      1.0922187500
          2.244     -2.4214347861      1.0927187500
          2.263     -2.4512176723      1.0931250000
          2.282     -2.4631998256      1.0936250000
          2.300     -2.4461428876      1.0945312500
          2.319     -2.4673144535      1.0954375000
          2.337     -2.4626344476      1.0966250000
          2.356     -2.4583524133      1.0980937500
          2.375     -2.3725004738      1.1007500000
          2.393     -2.2686745386      1.1048125000
          2.412     -2.3031114859      1.1087500000
          2.431     -2.3870360879      1.1120000000
          2.449     -2.3850500623      1.1155312500
          2.468     -2.2882204995      1.1204375000
          2.486     -2.0608907547      1.1282500000
          2.505     -2.0810415035      1.1361250000
          2.524     -1.7900592730      1.1477187500
          2.542     -1.7359446581      1.1602812500
          2.561     -1.6357440802      1.1743750000
          2.580     -1.6491593383      1.1886562500
          2.598     -1.5490219581      1.2045000000
          2.617     -1.4403430550      1.2220312500
          2.635     -1.2927452587      1.2417500000
          2.654     -1.2511819914      1.2623750000
          2.673     -0.8162492361      1.2888125000
          2.691     -0.5247717122      1.3193437500
          2.710     -0.4059865077      1.3518437500
          2.729     -0.2448294060      1.3868750000
          2.747      0.2509919466      1.4287500000
          2.766      0.6209611112      1.4759375000
          2.784      0.8676035306      1.5269062500
          2.803      1.1897064281      1.5826875000
          2.822      1.3360381559      1.6410312500
          2.840      0.9414510928      1.6948125000
          2.859      1.4320364385      1.7557500000
          2.878      0.9504469259      1.8109062500
          2.896      0.9034827900      1.8660625000
          2.915      0.5713515393      1.9173437500
          2.933      0.5428851887      1.9688437500
          2.952      0.1212195215      2.0151562500
          2.971      0.1270465309      2.0621250000
          2.989      0.1325455793      2.1097500000
          3.008      0.1087174218      2.1576250000
          3.027     -0.4472575662      2.1982500000
          3.045     -0.2385451323      2.2423750000
          3.064     -0.2801447130      2.2864687500
          3.082     -0.3367299991      2.3303125000
          3.101     -0.2803444890      2.3755312500
          3.120     -0.2808096068      2.4213125000
          3.138     -0.1040177290      2.4702500000
          3.157     -0.2144207868      2.5181562500
          3.176     -0.1124286155      2.5681562500
          3.194     -0.1862546793      2.6176562500
          3.213     -0.3430184801      2.6654062500
          3.231     -0.3756765298      2.7132500000
          3.250     -0.3359215050      2.7622812500
          3.269     -0.4138851640      2.8107187500
          3.287     -0.7933487916      2.8539375000
          3.306     -0.9779420050      2.8948750000
          3.325     -0.8841363510      2.9378125000
          3.343     -1.1087799645      2.9778125000
          3.362     -1.1155589581      3.0182500000
          3.380     -1.0212376831      3.0607187500
          3.399     -1.0703345012      3.1029687500
          3.418     -0.7008551125      3.1516562500
          3.436     -0.6187937766      3.2022500000
          3.455     -0.5358956206      3.2547812500
          3.474     -0.4096680025      3.3099687500
          3.492     -0.5040895730      3.3642500000
          3.511     -0.2134959560      3.4239062500
          3.529     -0.0060489041      3.4876250000
          3.548      0.0855134883      3.5535312500
          3.567      0.0742965351      3.6199375000
          3.585      0.2351956896      3.6897187500
          3.604      0.2452439317      3.7603750000
          3.623      0.4068935265      3.8344687500
          3.641      0.3971099520      3.9091250000
          3.660      0.6274413264      3.9884375000
          3.678      0.5450701659      4.0670937500
          3.697      0.5813166022      4.1471250000
          3.716      0.5176535010      4.2268125000
          3.734      0.5478747428      4.3077812500
          3.753      0.5150032588      4.3889375000
          3.772      0.4003999472      4.4688437500
          3.790      0.3185940272      4.5480625000
          3.809      0.3994948876      4.6294687500
          3.827      0.3566667783      4.7108750000
          3.846      0.4920417798      4.7954687500
          3.865      0.6137585417      4.8830312500
          3.883      0.2208268260      4.9642812500
          3.902      0.0378483183      5.0429687500
          3.921     -0.0734021694      5.1203750000
          3.939     -0.2826099745      5.1946875000
          3.958     -0.1983814212      5.2712812500
          3.976     -0.2839095106      5.3470312500
          3.995     -0.3049954505      5.4231250000
          4.014     -0.3060107620      5.4999375000
          4.032     -0.1590770898      5.5802500000
          4.051      0.0310484137      5.6649062500
          4.070      0.4864059907      5.7589687500
          4.088      0.3924092656      5.8520625000
          4.107      0.1421982377      5.9411875000
          4.125      0.2519572920      6.0332187500
          4.144      0.2147916338      6.1253437500
          4.163      0.3228769601      6.2203750000
          4.181      0.6529202509      6.3226562500
          4.200      0.8328438556      6.4293125000
          4.219      0.8296365748      6.5367812500
          4.237      0.8167739712      6.6448750000
          4.256      0.9347325432      6.7561875000
          4.274      0.7578773711      6.8648750000
          4.293      0.9388068469      6.9780625000
          4.312      0.5996725122      7.0853437500
          4.330      0.9111093003      7.1997812500
          4.349      0.7227940899      7.3113125000
          4.368      0.3899318089      7.4169687500
          4.386      0.7314317656      7.5304687500
          4.405      0.7986661130      7.6462500000
          4.423      0.5859960194      7.7585625000
          4.442      0.9082652111      7.8784375000
          4.461      0.7507344677      7.9959687500
          4.479      0.4205429390      8.1075312500
          4.498      0.6718413998      8.2252500000
          4.517      0.7663623687      8.3458750000
          4.535      0.6231674678      8.4644062500
          4.554      0.6902512725      8.5852812500
          4.572      0.6670879950      8.7065937500
          4.591      0.6819534543      8.8291562500
          4.610      0.4169996626      8.9469687500
          4.628      0.5919269782      9.0694687500
          4.647      0.5876471161      9.1928125000
          4.666      0.5328914398      9.3159062500
          4.684      0.2964491955      9.4347812500
          4.703      0.1116650382      9.5505312500
          4.721      0.3020170132      9.6713750000
          4.740      0.2995710428      9.7930937500
          4.759      0.1094115294      9.9115312500
          4.777      0.0006496745     10.0284687500
          4.796      0.0912831000     10.1483437500
          4.815     -0.1116728763     10.2645937500
          4.833     -0.3451598986     10.3765000000
          4.852     -0.3999558329     10.4880625000
          4.870     -0.7535064831     10.5925000000
          4.889     -0.7613421666     10.6976250000
          4.908     -0.6188489106     10.8068750000
          4.926     -0.4026599095     10.9219687500
          4.945     -0.3660468450     11.0388125000
          4.964     -0.5151008653     11.1531250000
          4.982     -0.9029688379     11.2593437500
          5.001     -0.4359083837     11.3773125000
          5.019     -0.3655602386     11.4978437500
          5.038     -0.1373624181     11.6246562500
          5.057     -0.0795516549     11.7537812500
          5.075     -0.1545490880     11.8820937500
          5.094     -0.1013504316     12.0126250000
          5.113     -0.4280591288     12.1363437500
          5.131     -0.4059418748     12.2615312500
          5.150     -0.6069809490     12.3828437500
          5.168     -0.2834195853     12.5128750000
          5.187     -0.1796952188     12.6463750000
          5.206     -0.1877324060     12.7806562500
          5.224     -0.1457581621     12.9169375000
          5.243     -0.1976719562     13.0529375000
          5.262     -0.6728381820     13.1782812500
          5.280     -0.4482737311     13.3100937500
          5.299     -0.8181820680     13.4337500000
          5.317     -0.8461313813     13.5576562500
          5.336     -0.6501547610     13.6873750000
          5.355     -0.6512056292     13.8180312500
          5.373     -0.4125833858     13.9556250000
          5.392     -0.4346457157     14.0936562500
          5.411     -0.2768391682     14.2366562500
          5.429     -0.5615597828     14.3734687500
          5.448     -0.7101945274     14.5075000000
          5.466     -0.5669860097     14.6461562500
          5.485     -0.6365638671     14.7840312500
          5.504     -0.3692516990     14.9297500000
          5.522     -0.4854849606     15.0735000000
          5.541     -0.3927456703     15.2206562500
          5.560     -0.2283356298     15.3730937500
          5.578     -0.4333169996     15.5212500000
          5.597     -0.4679941956     15.6695312500
          5.615     -0.4762840938     15.8186250000
          5.634     -0.6442747401     15.9643437500
          5.653     -0.6996900492     16.1096250000
          5.671     -0.4412827540     16.2627500000
          5.690     -0.7355264588     16.4091250000
          5.709     -0.6317902009     16.5592812500
          5.727     -0.5757349537     16.7119687500
          5.746     -0.4500943316     16.8690625000
          5.764     -0.1950016601     17.0340625000
          5.783     -0.0310428673     17.2045625000
          5.802      0.1190070940     17.3802187500
          5.820      0.0823202856     17.5560000000
          5.839      0.0020596561     17.7307187500
          5.858      0.2647564702     17.9137187500
          5.876      0.6238797585     18.1076875000
          5.895      0.3999673843     18.2966875000
          5.913      0.3112566925     18.4844062500
          5.932      0.2546522996     18.6717187500
          5.951      0.1926348950     18.8584687500
          5.969      0.1376223862     19.0448437500
          5.988      0.3159505045     19.2373437500
          6.007      0.2885756753     19.4302500000
          6.025      0.2512185836     19.6232812500
          6.044      0.0129765653     19.8107812500
          6.063      0.0705409464     20.0010625000
          6.081      0.1199017523     20.1939062500
          6.100     -0.1293355238     20.3808437500
          6.118     -0.3157529252     20.5636250000
          6.137     -0.2911947839     20.7482500000
          6.156     -0.5732769818     20.9259375000
          6.174     -0.3168090486     21.1121250000
          6.193     -0.4759875212     21.2948750000
          6.212     -0.5565405226     21.4764375000
          6.230     -0.5376284342     21.6596875000
          6.249     -0.3363664693     21.8499375000
          6.267     -0.4769484557     22.0372500000
          6.286      0.0131026541     22.2400625000
          6.305     -0.0832138756     22.4412500000
          6.323      0.1679855318     22.6510312500
          6.342      0.6588716465     22.8765312500
          6.361      0.6983207550     23.1044687500
          6.379      0.6069622736     23.3309687500
          6.398      0.7992502837     23.5644687500
          6.416      1.1147733487     23.8086875000
          6.435      0.8682915065     24.0468437500
          6.454      0.6553519693     24.2799062500
          6.472      0.7400847091     24.5168125000
          6.491      0.3620316867     24.7435937500
          6.510      0.3345046688     24.9708125000
          6.528      0.4900131916     25.2040312500
          6.547      0.6168415309     25.4424062500
          6.565      0.5281654902     25.6793750000
          6.584      0.4871984381     25.9161875000
          6.603      0.5712881175     26.1551562500
          6.621      0.9171420676     26.4038750000
          6.640      1.1210696250     26.6579375000
          6.659      1.2400274787     26.9147187500
          6.677      0.8216652883     27.1581562500
          6.696      0.9787109768     27.4054375000
          6.714      0.7729062582     27.6458125000
          6.733      0.7025698180     27.8833125000
          6.752      0.1603650854     28.1042187500
          6.770      0.1410826920     28.3238437500
          6.789      0.0533675925     28.5402187500
          6.808      0.0151174217     28.7547812500
          6.826      0.2097928651     28.9741562500
          6.845      0.2411388325     29.1936562500
          6.863      0.2007596811     29.4112500000
          6.882     -0.1445725493     29.6184375000
          6.901     -0.0859048244     29.8265312500
          6.919      0.1518523196     30.0404375000
          6.938      0.2421993232     30.2560312500
          6.957      0.0352681930     30.4651875000
          6.975     -0.1439949506     30.6687187500
          6.994     -0.3148361217     30.8669062500
          7.012     -0.7839502367     31.0518437500
          7.031     -0.7154707483     31.2379375000
          7.050     -0.8380559563     31.4201250000
          7.068     -0.6550049108     31.6064375000
          7.087     -0.6772669748     31.7914687500
          7.106     -1.0155104739     31.9670625000
          7.124     -0.6231438230     32.1520625000
          7.143     -0.5822265648     32.3373750000
          7.161     -0.1908292792     32.5318437500
          7.180     -0.1495280426     32.7265312500
          7.199     -0.1061149036     32.9214687500
          7.217     -0.4023900901     33.1082187500
          7.236     -0.3125681067     33.2963750000
          7.255     -0.1367435052     33.4880000000
          7.273     -0.3330593547     33.6740000000
          7.292     -0.0932641037     33.8649375000
          7.310     -0.2889041027     34.0503125000
          7.329     -0.6727634569     34.2257187500
          7.348     -0.5459932686     34.4033125000
          7.366     -0.3114737976     34.5855625000
          7.385      0.1126390075     34.7767812500
          7.404      0.2626746495     34.9705000000
          7.422     -0.0616714967     35.1558125000
          7.441     -0.1400269796     35.3384062500
          7.459     -0.1484997969     35.5198750000
          7.478      0.1257105774     35.7065312500
          7.497      0.1311007648     35.8923125000
          7.515      0.2235527118     36.0791250000
          7.534      0.7731251534     36.2769062500
          7.553      0.7068774174     36.4721250000
          7.571      0.3037934057     36.6575625000
          7.590      0.3506582708     36.8429375000
          7.608      0.3335594116     37.0268750000
          7.627      0.5908774296     37.2151250000
          7.646      0.6453444613     37.4033750000
          7.664      0.7253321036     37.5921250000
          7.683      0.6449454565     37.7780625000
          7.702      0.5897499009     37.9617187500
          7.720      0.2104202084     38.1365937500
          7.739      0.0994159832     38.3081562500
          7.757      0.6025251367     38.4885625000
          7.776      0.5368689060     38.6665000000
          7.795      0.6057367424     38.8445937500
          7.813      0.0909905318     39.0115937500
          7.832      0.4662000373     39.1846250000
          7.851     -0.0668123165     39.3464062500
          7.869      0.0339492045     39.5089687500
          7.888     -0.3015085666     39.6641875000
          7.906     -0.5186410068     39.8143437500
          7.925     -0.8890496291     39.9567187500
          7.944     -1.0475599598     40.0952500000
          7.962     -1.3559311530     40.2273125000
          7.981     -1.3337881556     40.3588437500
          8.000     -1.3590445444     40.4890000000
          8.018     -1.4475627496     40.6166875000
          8.037     -1.3952624562     40.7443437500
          8.055     -1.1057429494     40.8759687500
          8.074     -1.2414953058     41.0043125000
          8.093     -0.8099874885     41.1388437500
          8.111     -0.6577332411     41.2748125000
          8.130     -0.4077090855     41.4137500000
          8.149     -0.6351268263     41.5478750000
          8.167     -1.0848309516     41.6737187500
          8.186     -1.1730565945     41.7971250000
          8.204     -1.3791186212     41.9162812500
          8.223     -1.5041726769     42.0325000000
          8.242     -1.3731398473     42.1497187500
          8.260     -1.2323919954     42.2680312500
          8.279     -0.5966899580     42.3947500000
          8.298     -0.3448061047     42.5240000000
          8.316     -0.6559654503     42.6475000000
          8.335     -0.3433466705     42.7743125000
          8.353     -0.5554079064     42.8968750000
          8.372     -0.3308709340     43.0213750000
          8.391      0.0984122536     43.1505625000
          8.409      0.2762704487     43.2808437500
          8.428      0.6397877410     43.4146562500
          8.447      1.4518217367     43.5578437500
          8.465      1.4185904152     43.6990000000
          8.484      1.2670410666     43.8365937500
          8.502      1.5023920869     43.9756250000
          8.521      1.9006197463     44.1180625000
          8.540      1.6458162361     44.2556250000
          8.558      1.8753260015     44.3943437500
          8.577      1.7869031387     44.5302812500
          8.596      1.7043591628     44.6635312500
          8.614      2.0476302491     44.7991250000
          8.633      1.5579634858     44.9272812500
          8.651      1.8778423801     45.0574062500
          8.670      1.7691250547     45.1845625000
          8.689      1.7338543965     45.3095937500
          8.707      1.7296564262     45.4328437500
          8.726      1.1024034780     45.5476250000
          8.745      0.6032929966     45.6555000000
          8.763      0.7085196673     45.7629062500
          8.782      0.6679563735     45.8683125000
          8.800      1.3214524700     45.9786875000
          8.819      1.3233924440     46.0873750000
          8.838      1.1099207653     46.1922812500
          8.856      0.9189834220     46.2936875000
          8.875      0.3836670911     46.3884375000
          8.894      0.2074093703     46.4800000000
          8.912      0.7586076936     46.5749687500
          8.931      1.0203813280     46.6705937500
          8.949      1.2754057900     46.7667187500
          8.968      1.4753001710     46.8627812500
          8.987      0.9950756455     46.9530625000
          9.005      0.3605618017     47.0364687500
          9.024      0.6859930797     47.1208437500
          9.043      0.5727179051     47.2026562500
          9.061      0.1756865039     47.2797812500
          9.080      1.2544149811     47.3633125000
          9.098      1.3649022287     47.4458437500
          9.117      0.7493046997     47.5221875000
          9.136      0.3209500483     47.5938437500
          9.154      0.6928563151     47.6663437500
          9.173      0.4092204903     47.7352500000
          9.192      0.3265386278     47.8019375000
          9.210      0.4716932378     47.8678437500
          9.229      0.7970620760     47.9340000000
          9.247      0.2375074262     47.9950937500
          9.266      0.7207473555     48.0572500000
          9.285      1.4620525009     48.1217187500
          9.303      1.3761854976     48.1838125000
