# r/G(r)/dn[At1,At2]:      G(r)[ C, H]            dn(r)
          1.760     -1.9364893313      0.3400000000
          1.779     -1.9569812819      0.3400000000
          1.797     -1.9774732325      0.3400000000
          1.816     -1.9979651831      0.3400000000
          1.835     -2.0184571337      0.3400000000
          1.853     -2.0389490843      0.3400000000
          1.872     -2.0594410349      0.3400000000
          1.890     -2.0619957066      0.3401200000
          1.909     -2.0530588460      0.3404400000
          1.928     -2.0681448761      0.3408000000
          1.946     -2.0194524502      0.3416400000
          1.965     -1.9433095522      0.3431600000
          1.984     -1.8233942578      0.3456800000
          2.002     -1.4915666726      0.3507200000
          2.021     -1.2501336246      0.3576800000
          2.039     -0.7086596488      0.3687600000
          2.058     -0.3970414613      0.3823600000
          2.077      0.0991197361      0.3998800000
          2.095      0.3487390480      0.4195600000
          2.114      0.9678853062      0.4442000000
          2.133      1.2896453147      0.4716400000
          2.151      1.6159876818      0.5019600000
          2.170      1.8321906256      0.5343600000
          2.188      1.9875505444      0.5684000000
          2.207      1.9248460909      0.6024000000
          2.226      2.0609091381      0.6379200000
          2.244      1.5648308841      0.6699600000
          2.263      1.0566015497      0.6983600000
          2.282      0.7445916722      0.7246400000
          2.300      0.2407425078      0.7472000000
          2.319     -0.1676003423      0.7667600000
          2.337     -0.7293402802      0.7820000000
          2.356     -1.0186622974      0.7951200000
          2.375     -1.2990075759      0.8061600000
          2.393     -1.5233576882      0.8155600000
          2.412     -1.6695781529      0.8239600000
          2.431     -1.5348465343      0.8337600000
          2.449     -1.5778478518      0.8434400000
          2.468     -1.6800523488      0.8524800000
          2.486     -1.4446347945      0.8638400000
          2.505     -1.2265589093      0.8774000000
          2.524     -1.2896911191      0.8906800000
          2.542     -1.1565742059      0.9054400000
          2.561     -0.9285907575      0.9225600000
          2.580     -0.9408129243      0.9398800000
          2.598     -0.7791378136      0.9590000000
          2.617     -0.5725420485      0.9803600000
          2.635     -0.4635119282      1.0030800000
          2.654     -0.3988877424      1.0267600000
          2.673      0.0620885363      1.0551600000
          2.691      0.4786021667      1.0879200000
          2.710      0.2926559392      1.1193200000
          2.729      0.4735109990      1.1528800000
          2.747      0.4500281843      1.1866400000
          2.766      0.3448508950      1.2198000000
          2.784      0.5614992581      1.2555200000
          2.803      0.5128883725      1.2912000000
          2.822      0.5367533205      1.3275600000
          2.840      0.3849365457      1.3628400000
          2.859      0.4720480406      1.3994400000
          2.878      0.3770772128      1.4355200000
          2.896      0.0488980987      1.4686800000
          2.915      0.2597919387      1.5044400000
          2.933      0.1517842262      1.5395200000
          2.952      0.2056946528      1.5756000000
          2.971      0.2396476612      1.6124800000
          2.989      0.3145153135      1.6506000000
          3.008      0.4332953664      1.6904400000
          3.027      0.4159138454      1.7305600000
          3.045      0.3019872131      1.7699200000
          3.064      0.4658900100      1.8115200000
          3.082      0.2975385649      1.8517600000
          3.101      0.5975143715      1.8957600000
          3.120      0.5820710661      1.9400800000
          3.138      0.3252560782      1.9820400000
          3.157      0.2395092559      2.0235200000
          3.176      0.0975771621      2.0638800000
          3.194      0.0384505763      2.1040400000
          3.213      0.0712438654      2.1450400000
          3.231     -0.0924580334      2.1846400000
          3.250     -0.1084497439      2.2245200000
          3.269      0.0449498748      2.2666400000
          3.287      0.1654332763      2.3106400000
          3.306      0.0415757359      2.3536800000
          3.325     -0.0369250185      2.3962800000
          3.343     -0.1756366142      2.4377200000
          3.362     -0.1382026971      2.4800800000
          3.380     -0.2518735187      2.5215600000
          3.399     -0.1982543516      2.5641600000
          3.418     -0.3008839291      2.6060000000
          3.436     -0.1460554025      2.6502000000
          3.455     -0.2483017354      2.6936400000
          3.474     -0.1283955626      2.7390400000
          3.492     -0.0909044837      2.7854000000
          3.511     -0.0089551858      2.8332800000
          3.529      0.0655078613      2.8826000000
          3.548      0.1899456799      2.9340000000
          3.567      0.2146279702      2.9862400000
          3.585      0.6739040048      3.0448400000
          3.604      0.3880453422      3.1003600000
          3.623      0.8662474426      3.1625600000
          3.641      0.8892311074      3.2256400000
          3.660      0.9333914631      3.2898800000
          3.678      0.9799699322      3.3553200000
          3.697      0.8149163208      3.4192000000
          3.716      0.8855469352      3.4846000000
          3.734      0.8584096933      3.5502400000
          3.753      0.5783455843      3.6127600000
          3.772      0.7024359334      3.6775200000
          3.790      0.6223144210      3.7418000000
          3.809      0.4804557168      3.8047600000
          3.827      0.3988420994      3.8672000000
          3.846      0.2325925243      3.9279600000
          3.865      0.2929521177      3.9901200000
          3.883      0.0469122920      4.0494800000
          3.902      0.3012769757      4.1129200000
          3.921      0.2330118250      4.1760000000
          3.939      0.3344940359      4.2410800000
          3.958     -0.1392104532      4.3001200000
          3.976      0.1360753891      4.3636000000
          3.995      0.1115284268      4.4273200000
          4.014      0.0504090614      4.4907600000
          4.032      0.0064838994      4.5541600000
          4.051      0.0353210009      4.6185600000
          4.070      0.1053689442      4.6845600000
          4.088     -0.1682479034      4.7472000000
          4.107     -0.3267246063      4.8081200000
          4.125     -0.1332516910      4.8724400000
          4.144     -0.1953650127      4.9364400000
          4.163     -0.3086976292      4.9993600000
          4.181     -0.3022597263      5.0629600000
          4.200     -0.1076716249      5.1300400000
          4.219     -0.0489521841      5.1986000000
          4.237     -0.1910000498      5.2656400000
          4.256     -0.4010383652      5.3301200000
          4.274     -0.3899425293      5.3953600000
          4.293     -0.0342117595      5.4666000000
          4.312      0.2055433524      5.5421200000
          4.330      0.0906767436      5.6165200000
          4.349      0.2209306860      5.6935600000
          4.368      0.2670835091      5.7719600000
          4.386      0.0936259147      5.8483200000
          4.405      0.3346035102      5.9290800000
          4.423      0.5554922163      6.0139600000
          4.442      0.3443230183      6.0962000000
          4.461      0.3425303303      6.1790800000
          4.479      0.7367587256      6.2688800000
          4.498      0.3711489717      6.3535600000
          4.517      0.7591673761      6.4451200000
          4.535      0.6154568265      6.5350800000
          4.554      0.7755746616      6.6283200000
          4.572      0.8773645752      6.7239200000
          4.591      0.6802608321      6.8170400000
          4.610      0.8033505629      6.9128800000
          4.628      0.8251552811      7.0098000000
          4.647      0.7858111258      7.1068000000
          4.666      0.6085245679      7.2016000000
          4.684      0.8475294603      7.3010800000
          4.703      0.5677278853      7.3966400000
          4.721      0.8932631777      7.4983600000
          4.740      0.7200812927      7.5979200000
          4.759      0.5813484409      7.6958800000
          4.777      0.6990668372      7.7965600000
          4.796      0.5211088061      7.8949600000
          4.815      0.3936709109      7.9919200000
          4.833      0.2062521175      8.0864000000
          4.852      0.0061368182      8.1781600000
          4.870      0.2344175141      8.2745600000
          4.889     -0.0293267469      8.3671200000
          4.908      0.1233437321      8.4630400000
          4.926      0.1278600343      8.5597600000
          4.945      0.1116156752      8.6569200000
          4.964     -0.2029778558      8.7492800000
          4.982     -0.0979283410      8.8442000000
          5.001     -0.1203890024      8.9394400000
          5.019     -0.1113087086      9.0355600000
          5.038     -0.1383439742      9.1319200000
          5.057     -0.1563898653      9.2286800000
          5.075     -0.1143222658      9.3269200000
          5.094     -0.0394279253      9.4272400000
          5.113      0.1033082188      9.5308800000
          5.131      0.2668877976      9.6382400000
          5.150      0.2952487314      9.7468800000
          5.168      0.1198700295      9.8530800000
          5.187     -0.0217097293      9.9574400000
          5.206     -0.1255106961     10.0606400000
          5.224     -0.1897733484     10.1634000000
          5.243     -0.0683187332     10.2691600000
          5.262     -0.0810608952     10.3754400000
          5.280     -0.1088424755     10.4819600000
          5.299      0.0170142532     10.5916000000
          5.317     -0.0069519687     10.7015600000
          5.336     -0.1897636304     10.8088400000
          5.355     -0.2616795886     10.9155200000
          5.373     -0.1628492425     11.0248400000
          5.392     -0.1570809437     11.1350400000
          5.411     -0.1097115280     11.2469200000
          5.429     -0.1377571498     11.3590400000
          5.448     -0.0620105670     11.4734000000
          5.466     -0.0303423627     11.5891600000
          5.485     -0.0381820805     11.7055600000
          5.504     -0.4239968947     11.8152400000
          5.522     -0.3447660537     11.9272400000
          5.541     -0.4885591214     12.0372000000
          5.560     -0.5136058785     12.1474400000
          5.578     -0.4920169028     12.2588800000
          5.597     -0.5999607984     12.3689600000
          5.615     -0.7536207439     12.4767600000
          5.634     -0.6897282174     12.5866000000
          5.653     -0.4884185259     12.7012400000
          5.671     -0.4679397351     12.8170800000
          5.690     -0.4079987359     12.9349200000
          5.709     -0.3525426642     13.0546800000
          5.727     -0.1791645025     13.1787600000
          5.746     -0.0188464169     13.3069200000
          5.764     -0.1342153863     13.4335600000
          5.783     -0.1004287684     13.5617200000
          5.802      0.1979724201     13.6968400000
          5.820      0.2282754847     13.8334400000
          5.839     -0.2198952145     13.9616400000
          5.858      0.2165146315     14.0997200000
          5.876      0.1402854259     14.2370800000
          5.895      0.1621998965     14.3757600000
          5.913      0.1532641933     14.5151200000
          5.932     -0.1548980108     14.6488800000
          5.951      0.1807631746     14.7905600000
          5.969      0.0578566482     14.9305200000
          5.988     -0.3381233227     15.0629600000
          6.007     -0.3253046463     15.1965200000
          6.025     -0.1607368201     15.3344400000
          6.044     -0.3620000561     15.4689200000
          6.063     -0.4465559231     15.6024400000
          6.081      0.0064598242     15.7465600000
          6.100     -0.1975518820     15.8871600000
          6.118     -0.5574782392     16.0208400000
          6.137     -0.3112246651     16.1607200000
          6.156     -0.1951231541     16.3040000000
          6.174     -0.3288231229     16.4452400000
          6.193     -0.1004505264     16.5923600000
          6.212      0.0554598766     16.7438000000
          6.230     -0.1452866794     16.8917200000
          6.249      0.0204369646     17.0442000000
          6.267     -0.2027016374     17.1926400000
          6.286     -0.0470236576     17.3454400000
          6.305      0.2331134913     17.5054000000
          6.323      0.1718399948     17.6649200000
          6.342      0.2836917740     17.8278800000
          6.361      0.1104311885     17.9878800000
          6.379      0.1152546262     18.1489200000
          6.398     -0.0832468512     18.3064000000
          6.416     -0.3177091769     18.4594800000
          6.435     -0.1697650625     18.6168400000
          6.454     -0.1821764229     18.7748400000
          6.472     -0.0164990178     18.9375600000
          6.491      0.0227282499     19.1021200000
          6.510     -0.0130527306     19.2668000000
          6.528     -0.1457091410     19.4293600000
          6.547     -0.3813203661     19.5874000000
          6.565     -0.2128444199     19.7502800000
          6.584     -0.4190645392     19.9091600000
          6.603     -0.4182776344     20.0678400000
          6.621     -0.3024151096     20.2287600000
          6.640     -0.3403442148     20.3883600000
          6.659     -0.4135895705     20.5458400000
          6.677     -0.4433004165     20.7022000000
          6.696     -0.3789764299     20.8595600000
          6.714     -0.3136536096     21.0179200000
          6.733     -0.0316357150     21.1820800000
          6.752     -0.1799400504     21.3424400000
          6.770      0.0885628929     21.5082000000
          6.789      0.0403300126     21.6723600000
          6.808      0.2274004839     21.8400400000
          6.826      0.0058222032     22.0023600000
          6.845      0.2923864271     22.1702800000
          6.863      0.1964821905     22.3355600000
          6.882      0.0524720889     22.4972000000
          6.901      0.0246250800     22.6576800000
          6.919     -0.0185983909     22.8166800000
          6.938      0.0378645334     22.9762800000
          6.957      0.2810539135     23.1403200000
          6.975      0.2666945486     23.3034400000
          6.994      0.3876432018     23.4684000000
          7.012      0.5242388223     23.6354800000
          7.031      0.4822110258     23.8010400000
          7.050      0.4438966698     23.9651600000
          7.068      0.5119720494     24.1299600000
          7.087      0.2288379496     24.2884800000
          7.106      0.5640229110     24.4529200000
          7.124      0.5078604533     24.6155600000
          7.143      0.2404169783     24.7723200000
          7.161      0.4356837273     24.9321600000
          7.180      0.4726028174     25.0920000000
          7.199      0.4006145515     25.2497600000
          7.217      0.3257807047     25.4054000000
          7.236      0.5668227968     25.5648400000
          7.255      0.3353977831     25.7192400000
          7.273      0.4308072747     25.8746800000
          7.292      0.3093157728     26.0271600000
          7.310      0.1115054996     26.1753200000
          7.329      0.2193574120     26.3247200000
          7.348      0.1369767045     26.4719200000
          7.366     -0.1218649443     26.6138000000
          7.385     -0.2346223704     26.7530000000
          7.404     -0.2870892412     26.8906000000
          7.422     -0.3975853310     27.0256000000
          7.441     -0.2659246633     27.1622000000
          7.459     -0.1108851113     27.3007600000
          7.478     -0.2451858216     27.4363200000
          7.497     -0.3385389234     27.5696000000
          7.515     -0.1722576982     27.7049600000
          7.534     -0.2441599143     27.8384000000
          7.553     -0.0859560660     27.9737200000
          7.571     -0.1944177613     28.1065200000
          7.590     -0.1338528571     28.2395600000
          7.608     -0.0345968326     28.3734400000
          7.627      0.1721163400     28.5098400000
          7.646     -0.2403163315     28.6389200000
          7.664     -0.2584338930     28.7669600000
          7.683     -0.1863774055     28.8953600000
          7.702      0.0690738937     29.0269200000
          7.720     -0.0374704140     29.1560400000
          7.739      0.0896716544     29.2862800000
          7.757      0.1794214946     29.4170400000
          7.776      0.3625640637     29.5496800000
          7.795      0.7148670833     29.6866400000
          7.813      0.6029782506     29.8210400000
          7.832      0.2545844659     29.9494800000
          7.851      0.5832780142     30.0817600000
          7.869      0.8959355584     30.2175600000
          7.888      0.9109055271     30.3526000000
          7.906      1.2104040168     30.4908400000
          7.925      1.2352305140     30.6284000000
          7.944      1.2433950318     30.7650400000
          7.962      1.2196569346     30.9003200000
          7.981      1.4729844123     31.0379600000
          8.000      1.2412046689     31.1714400000
          8.018      1.0325482320     31.3011200000
          8.037      0.9367568798     31.4285200000
          8.055      0.5137450437     31.5494400000
          8.074      0.5148777704     31.6694000000
          8.093     -0.1041640754     31.7805600000
          8.111      0.0737323596     31.8930400000
          8.130     -0.0772395986     32.0027200000
          8.149     -0.2539042454     32.1093200000
          8.167     -0.9593675584     32.2064800000
          8.186     -1.1387093484     32.3006800000
          8.204     -1.1391782219     32.3940800000
          8.223     -1.1767720866     32.4862400000
          8.242     -1.0247372131     32.5793600000
          8.260     -0.9281377397     32.6727600000
          8.279     -1.2884093403     32.7612400000
          8.298     -1.1916743647     32.8500000000
          8.316     -1.1464385215     32.9384400000
          8.335     -1.2168453257     33.0252800000
          8.353     -0.8879868223     33.1148400000
          8.372     -1.3012989331     33.1991200000
          8.391     -1.3709502255     33.2818400000
          8.409     -1.1877937311     33.3656400000
          8.428     -1.0111004013     33.4504000000
          8.447     -1.1333872299     33.5330400000
          8.465     -0.5860890881     33.6202800000
          8.484     -0.9846698764     33.7026400000
          8.502     -0.8304219259     33.7856000000
          8.521     -1.0130234364     33.8658800000
          8.540     -0.5411254403     33.9497200000
          8.558     -0.4023349465     34.0338800000
          8.577     -0.3328548543     34.1176800000
          8.596      0.0522479601     34.2039600000
          8.614     -0.0785705356     34.2880000000
          8.633     -0.2081502382     34.3698400000
          8.651      0.0461518214     34.4528400000
          8.670      0.3323341465     34.5372000000
          8.689      0.4997701143     34.6218400000
          8.707      1.1899520846     34.7110400000
          8.726      1.2945698064     34.7998400000
          8.745      1.0142090084     34.8851200000
          8.763      1.1613304077     34.9703200000
          8.782      1.4843621909     35.0567600000
          8.800      1.7982859126     35.1442800000
          8.819      1.8463263975     35.2308000000
          8.838      1.9511729658     35.3167200000
          8.856      2.6527541130     35.4063200000
          8.875      2.6765331766     35.4946000000
          8.894      2.5067010020     35.5802000000
          8.912      1.8685958255     35.6599600000
          8.931      1.9404675290     35.7388000000
          8.949      1.0782568539     35.8105600000
          8.968      1.0204946304     35.8806400000
          8.987      0.6883744108     35.9473200000
          9.005      0.6086108323     36.0122400000
          9.024      0.3607348454     36.0744000000
          9.043      0.4682257134     36.1359600000
          9.061      0.2838608243     36.1952000000
          9.080     -0.1419547067     36.2508000000
          9.098     -0.3912872146     36.3038400000
          9.117     -0.5849426212     36.3546800000
          9.136     -0.8634774492     36.4029200000
          9.154     -1.2959665041     36.4478400000
          9.173     -2.2796363319     36.4868000000
          9.192     -2.2857363843     36.5248000000
          9.210     -2.5112254765     36.5608000000
          9.229     -2.2606089035     36.5970400000
          9.247     -2.1823265171     36.6326800000
          9.266     -3.0407954042     36.6636400000
          9.285     -2.3503382051     36.6966400000
          9.303     -2.0566696744     36.7298800000
